,Unclassified,Methanoregula,Methanoculleus,Methanothrix,Methanofollis,Methanolinea,Candidatus Nitrosotalea,Candidatus Methanoperedens,Methanocella,Methanobacterium,Methanosarcina,Candidatus Methanosuratincola,Candidatus Bilamarchaeum,Methanosphaerula,Methanocalculus,Methanospirillum,Methanomassiliicoccus,Thermococcus,Other genera
AM.P1,175.00614052098183,0.5091480969591626,0.6335897087217918,0.3878007297798396,0.32218956363204443,0.3659257770120711,10.527730780062528,4.1355698874207425,0.474479376644429,0.21328635762898435,0.44247441954375044,0.06653931172933555,0.033377276206980534,0.11070600647861316,0.10034706930556711,0.14012807536378546,0.24206270446028008,0.15732122375732036,6.131183114310967
AM.P2,183.1625898104891,1.4674465966911772,1.636928886632514,0.7543477950770416,1.0915565894117836,1.1160482341287374,0.06633946253113113,0.9625723292218529,0.7242128730737138,1.3196546565765481,0.4337035226221416,0.24960532321500484,0.05785420284862962,0.27854259651579005,0.3467192196066166,0.29615262773794604,0.17336978167977873,0.2831810519657315,5.579174439974777
TIA.P1,168.82769771201464,8.49174866848398,3.149063045465703,3.0347315312818646,2.0559674590944224,2.047766704625011,0.08165672124942631,0.26102084924241575,1.008790763594206,0.8524332678158583,0.7884228632541606,1.1980153897218146,0.2945255140094316,0.6656341447144453,0.5547164914192433,0.4691668608932623,0.2644988226026682,0.2609567367707992,5.693186453746652
TIA.P2,176.179053756771,4.618516736143453,1.8586329461106406,3.3365485411469793,1.4396198234522088,1.3958696538716184,0.07984372830482861,0.303075835629365,1.0706050399935712,0.881225861682481,0.6468801568081535,0.8950922253071365,0.3899487878737724,0.37710669697726173,0.37066644310355623,0.3147015695432287,0.3112061659988895,0.23835324478273928,5.293052786499117
TI.P1,162.1213728201099,12.580465084878517,3.6714954343193678,3.0927353554676933,2.644700039349165,2.5316292533449216,0.10753845318573277,0.3321052619918305,0.8290199732798083,0.5307509606590745,0.9625830935901984,0.7856315877085724,0.7197409661403756,0.8357954877980869,0.4609027694747562,0.7113906884197077,0.4879635043275743,0.24143315499874424,6.352746110955984
TI.P2,184.7100731086888,1.8426866202766128,1.5127695807537829,0.9120433421628905,0.9930423035697773,0.9889968502426156,0.06221161126698934,0.5510410646070388,0.6331950089953584,0.3690779352866552,0.3737420153054798,0.5772336732312238,0.7518784260388257,0.262838685124431,0.2940625776838116,0.23813475265886347,0.15121920892630664,0.2318509664168223,4.54390226876374
TI.P3,177.19179142021247,3.3268619488550932,2.447673702992832,2.01124146268287,1.584084222599619,1.5612000546298264,0.0959681068657256,0.4668024557341902,1.3161329389026715,0.5062917674967509,0.5150265242872468,0.7760999039527586,1.4814434884404433,0.5010005945062674,0.47319569774094417,0.3784577730741012,0.211253316502914,0.1948905037224872,4.9605841168007965
TI.P4,175.4712555140884,3.5601380864372256,2.675020356966443,2.9904740497241207,1.5066355385458268,1.4692946116213237,1.2650093809870029,0.7834657031696609,0.9065866976837855,0.8391767936132644,0.7579815033735345,0.22875719827883534,0.353806851833792,0.39573255610818675,0.39528986972334346,0.35899222906998596,0.3509928200232734,0.28209694329676344,5.409293295455236
VI.P1,185.3725870653662,1.2581865367308502,1.3414112156222977,0.47112428323038047,0.9666013835167857,1.0333305151769432,0.14717965458855653,3.092731829894093,0.6503646361526969,0.2660031629352211,0.39946142625553605,0.17553580083044845,0.023887618991614817,0.2960536804643419,0.2721660614727271,0.17492121421903895,0.16613354826548438,0.18108411275654493,3.711236253530263
VI.P2,180.86526009204607,1.938352919902431,2.3483306208932575,1.2261543594612072,1.5786760565248925,1.5129497515562131,0.06071633724278501,0.7980362941189189,1.0652251546385674,1.1409065937845813,0.42084680954149933,0.217679151261776,0.049588023594297585,0.4161608481878738,0.4755096021361448,0.3777659395165174,0.2081776260056175,0.2657051877381984,5.033958631849156
