NMDS1,NMDS2,Sample,Lake,Season,LakeSeason
-1.6115819893868917,-0.9331767543171238,AM.P1.D,AM,Dry,AM-D
-0.7623116660666964,-0.24377961744841148,AM.P1.R,AM,Rainy,AM-R
-0.5430095542656432,0.37497979462914655,AM.P2.D,AM,Dry,AM-D
0.020494372876776648,-0.2496504953302413,AM.P2.R,AM,Rainy,AM-R
0.3461483280162835,0.14299323739199785,TIA.P1.D,TIA,Dry,TIA-D
0.8706523599023375,-0.024135915750329348,TIA.P1.R,TIA,Rainy,TIA-R
0.31752117254626333,0.14265454050381818,TIA.P2.D,TIA,Dry,TIA-D
0.36378986927568746,0.10258921987285118,TIA.P2.R,TIA,Rainy,TIA-R
1.3171734270879727,0.025339718689233695,TI.P1.D,TI,Dry,TI-D
0.24725749616933076,-0.015848208165884645,TI.P1.R,TI,Rainy,TI-R
-0.5032955941948377,0.26605903730026687,TI.P2.D,TI,Dry,TI-D
0.07014486366491744,0.264017279265761,TI.P2.R,TI,Rainy,TI-R
0.6205565024898555,0.19656789475708536,TI.P3.D,TI,Dry,TI-D
-0.2265902119672056,0.1490716908530305,TI.P3.R,TI,Rainy,TI-R
0.45706926955259974,-0.33108447262055213,TI.P4.D,TI,Dry,TI-D
0.05752364583339258,0.04363199471712227,TI.P4.R,TI,Rainy,TI-R
-0.5465726748071953,0.04761292515498083,VI.P1.D,VI,Dry,VI-D
-0.47484141029453214,0.1366844658798275,VI.P1.R,VI,Rainy,VI-R
-0.23439380235743545,0.08628687196747575,VI.P2.D,VI,Dry,VI-D
0.21426559592502123,-0.1808132073500554,VI.P2.R,VI,Rainy,VI-R
