Module,Thermoplasmata RBG-16-68-12 - MAG01,Unclassified MAG - MAG02,Candidatus Aminicenantes  - MAG03,Acidobacteria bacterium U - MAG04,Candidatus Bathyarchaeota - MAG05,Candidatus Bathyarchaeota - MAG06,Candidatus Bathyarchaeota - MAG07,Trebonia kvetii - MAG08,Anaeromyxobacter sp. Red267 - MAG09,Candidatus Bathyarchaeota - MAG10,Nitrososphaeria archeon E - MAG11,Dehalococcoides mccartyi - MAG12,Nitrospirales bacterium L - MAG13,Spirochaetes bacterium RB - MAG14,Bacteroidota UBA6906 - MAG15,Candidatus Bathyarchaeota - MAG16,Thermoplasmata archaeon S - MAG17,Dehalococcoidia bacterium - MAG18,Euryarchaeota archaeon RB - MAG19,Candidatus Bathyarchaeota - MAG20,Candidatus Bathyarchaeota - MAG21,Candidatus Bathyarchaeota - MAG22,Candidatus Bathyarchaeota - MAG24,Nitrosotalea sp - MAG25,Burkholderiales bacterium - MAG26,Planctomycetes bacterium  - MAG27,Unclassified MAG - MAG28,Candidatus Aminicenantes  - MAG29,Anaerolineales bacterium - MAG30,Thermoflexales bacterium - MAG31,Lokiarchaeia archaeon - MAG32,Thermoflexales bacterium  - MAG33,Hydrococcus - MAG34,Acidobacteria bacterium U - MAG35,Candidatus Bathyarchaeota - MAG36,Euryarchaeota archaeon RB - MAG37,Candidatus Bathyarchaeota - MAG38,Lokiarchaeia archaeon - MAG39,Desulfobacterota bacteriu - MAG40,Dehalococcoidia bacterium - MAG41,Dehalococcoidia bacterium - MAG42,Acidobacteria bacterium U - MAG43,Anaerolineae bacterium UB - MAG44,Candidatus Aminicenantes  - MAG45,Candidatus Methanopereden - MAG46,Unclassified MAG - MAG47,Lokiarchaeia archaeon - MAG48
M00916 | Pyridoxal-P_biosynthesis,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
"M00010 | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,2,2,0,0,0,2,0,0,2,0,2,0,0,0
"M00086 | beta-Oxidation, acyl-CoA synthesis",2,2,2,0,0,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2
"M00028 | Ornithine biosynthesis, glutamate => ornithine",0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,2,1,0,0,0,0
M00793 | dTDP-L-rhamnose biosynthesis,1,1,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,1,2,1,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0
"M00854 | Glycogen biosynthesis, glucose-1P => glycogen/starch",0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
"M00082 | Fatty acid biosynthesis, initiation",0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0
"M00021 | Cysteine biosynthesis, serine => cysteine",0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,2,0,0,0,0
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0,0,2,2,0,2,0,2,2,0,0,1,2,2,2,0,1,2,2,0,0,0,0,1,1,2,0,2,2,2,0,2,2,2,0,2,0,0,2,1,1,2,1,2,0,0,0
"M00022 | Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0
