Module_id,Module_name,KO_count,KO_set
M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",12,"K00083,K00487,K00588,K01904,K09753,K09754,K09755,K10775,K13064,K13065,K13066,K22395"
M00040,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",8,"K00220,K00832,K01850,K04092,K14170,K15226,K15227,K15849"
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",6,"K00501,K00503,K00505,K00553,K01592,K01593"
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",1,K00431
M00044,"Tyrosine degradation, tyrosine => homogentisate",8,"K00451,K00457,K00815,K00838,K01555,K01800,K03334,K16171"
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",8,"K00603,K01458,K01468,K01479,K01712,K01745,K05603,K13990"
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",6,"K00207,K01431,K01464,K06016,K17722,K17723"
M00047,Creatine pathway,3,"K00542,K00613,K00933"
M00048,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",24,"K00601,K00602,K00764,K01492,K01587,K01588,K01589,K01756,K01923,K01933,K01945,K01952,K06863,K08289,K11175,K11176,K11787,K11788,K11808,K13713,K23264,K23265,K23269,K23270"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",9,"K00873,K00939,K00940,K00944,K01756,K01939,K12406,K18532,K18533"
M00050,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",7,"K00088,K00873,K00940,K00942,K01951,K12406,K18533"
M00051,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",15,"K00226,K00254,K00608,K00609,K00610,K00762,K01465,K01591,K01954,K01955,K01956,K11540,K11541,K13421,K17828"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",6,"K00940,K01937,K09903,K13800,K13809,K18533"
M00053,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",14,"K00524,K00525,K00526,K00527,K00560,K00940,K00943,K01494,K01520,K10807,K10808,K13998,K18533,K21636"
M00055,N-glycan precursor biosynthesis,13,"K00729,K01001,K03842,K03843,K03844,K03845,K03846,K03847,K03848,K03849,K03850,K07432,K07441"
M00056,"O-glycan biosynthesis, mucin type core",7,"K00710,K00727,K00731,K00739,K09653,K09662,K09663"
M00057,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",4,"K00733,K00734,K00771,K10158"
M00058,"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",4,"K00746,K00747,K03419,K13499"
M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",10,"K01793,K02366,K02367,K02368,K02369,K02370,K02576,K02577,K02578,K02579"
M00060,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",9,"K00677,K00748,K00912,K02517,K02527,K02535,K02536,K02560,K03269"
M00061,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",7,"K00040,K00874,K01625,K01686,K01812,K08323,K17463"
M00063,CMP-KDO biosynthesis,4,"K00979,K01627,K03270,K06041"
M00064,ADP-L-glycero-D-manno-heptose biosynthesis,6,"K03271,K03272,K03273,K03274,K21344,K21345"
M00065,"GPI-anchor biosynthesis, core oligosaccharide",18,"K03434,K03857,K03858,K03859,K03860,K03861,K05283,K05284,K05285,K05286,K05287,K05288,K05310,K07541,K07542,K09658,K11001,K11002"
M00066,Lactosylceramide biosynthesis,2,"K00720,K07553"
M00067,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid",2,"K01019,K04628"
M00068,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",2,"K00719,K01988"
M00069,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3",3,"K03369,K03370,K03371"
M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer",4,"K03766,K03877,K07819,K07820"
M00071,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer",5,"K03766,K07966,K07967,K07968,K07969"
M00072,N-glycosylation by oligosaccharyltransferase,8,"K00730,K07151,K12666,K12667,K12668,K12669,K12670,K12691"
M00073,N-glycan precursor trimming,4,"K01228,K01230,K05546,K23741"
M00074,"N-glycan biosynthesis, high-mannose type",11,"K01230,K05528,K05529,K05530,K05531,K05532,K05533,K05534,K05535,K05546,K23741"
M00075,"N-glycan biosynthesis, complex type",13,"K00717,K00736,K00737,K00738,K00744,K00778,K00779,K01231,K07966,K07967,K07968,K09661,K13748"
