Module_id,Module_name,KO_count,KO_set
M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA",5,"K00192,K00193,K00194,K00195,K00197"
M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",5,"K00052,K01649,K01702,K01703,K01704"
M00433,"Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate",6,"K01655,K01705,K05824,K16792,K16793,K17450"
M00525,"Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",9,"K00133,K00215,K00841,K00928,K01586,K01714,K01778,K05822,K05823"
M00526,"Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",9,"K00133,K00215,K00928,K01586,K01714,K03340,K12524,K12525,K12526"
M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",10,"K00133,K00215,K00928,K01586,K01714,K01778,K10206,K12524,K12525,K12526"
M00528,"Nitrification, ammonia => nitrite",4,"K10535,K10944,K10945,K10946"
M00529,"Denitrification, nitrate => nitrogen",10,"K00368,K00370,K00371,K00374,K00376,K02305,K02567,K02568,K04561,K15864"
M00530,"Dissimilatory nitrate reduction, nitrate => ammonia",9,"K00362,K00363,K00370,K00371,K00374,K02567,K02568,K03385,K15876"
M00531,"Assimilatory nitrate reduction, nitrate => ammonia",6,"K00360,K00366,K00367,K00372,K10534,K17877"
M00532,Photorespiration,15,"K00281,K00382,K00600,K00605,K00830,K01601,K01602,K02437,K03781,K11517,K14272,K15893,K15918,K15919,K19269"
M00533,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",4,"K00151,K00455,K01826,K05921"
M00534,"Naphthalene degradation, naphthalene => salicylate",9,"K00152,K14578,K14579,K14580,K14581,K14582,K14583,K14584,K14585"
M00535,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",4,"K00052,K01703,K01704,K09011"
M00537,"Xylene degradation, xylene => methylbenzoate",4,"K00055,K00141,K15757,K15758"
M00538,"Toluene degradation, toluene => benzoate",8,"K00055,K00141,K15760,K15761,K15762,K15763,K15764,K15765"
M00539,"Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate",8,"K10619,K10620,K10621,K10622,K10623,K16303,K16304,K18227"
M00540,"Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA",5,"K04116,K04117,K07534,K07535,K07536"
M00541,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",9,"K04112,K04113,K04114,K04115,K07537,K07538,K07539,K19515,K19516"
M00542,"EHEC/EPEC pathogenicity signature, T3SS and effectors",17,"K03219,K03221,K03222,K03224,K03225,K03226,K03227,K03228,K03229,K03230,K12784,K12785,K12786,K12787,K12788,K16041,K16042"
M00543,"Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",7,"K00462,K08689,K08690,K10222,K15750,K18087,K18088"
M00544,"Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate",6,"K15751,K15752,K15753,K15754,K15755,K15756"
M00545,"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",11,"K00529,K01666,K02554,K04073,K05708,K05709,K05710,K05711,K05712,K05713,K05714"
M00546,"Purine degradation, xanthine => urea",20,"K00087,K00106,K00365,K01466,K01477,K07127,K11177,K11178,K13479,K13480,K13481,K13482,K13483,K13484,K13485,K16838,K16839,K16840,K16842,K22879"
M00547,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol",5,"K03268,K16268,K16269,K18089,K18090"
M00548,"Benzene degradation, benzene => catechol",6,"K16242,K16243,K16244,K16245,K16246,K16249"
M00549,"Nucleotide sugar biosynthesis, glucose => UDP-glucose",9,"K00844,K00845,K00886,K00963,K01835,K12407,K12447,K15778,K15779"
M00550,"Ascorbate degradation, ascorbate => D-xylulose-5P",7,"K02821,K02822,K03077,K03078,K03079,K03475,K03476"
M00551,"Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",4,"K05549,K05550,K05783,K05784"
M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",5,"K00134,K00883,K00927,K01631,K01684"
M00554,"Nucleotide sugar biosynthesis, galactose => UDP-galactose",2,"K00849,K00965"
M00555,"Betaine biosynthesis, choline => betaine",6,"K00108,K00130,K00499,K11440,K14085,K17755"
M00563,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",23,"K00125,K00399,K00401,K00402,K03388,K03389,K03390,K08264,K08265,K14082,K14083,K14084,K14126,K14127,K14128,K16176,K16177,K16178,K16179,K22480,K22481,K22482,K22516"
M00564,"Helicobacter pylori pathogenicity signature, cagA pathogenicity island",27,"K03196,K12086,K12087,K12088,K12089,K12090,K12091,K12092,K12093,K12094,K12095,K12096,K12097,K12098,K12099,K12100,K12101,K12102,K12103,K12104,K12105,K12106,K12107,K12108,K12109,K12110,K15842"
M00565,"Trehalose biosynthesis, D-glucose 1P => trehalose",7,"K00700,K00703,K00975,K01214,K01236,K06044,K16149"
M00567,"Methanogenesis, CO2 => methane",37,"K00125,K00200,K00201,K00202,K00203,K00204,K00205,K00319,K00320,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584,K00672,K01499,K03388,K03389,K03390,K08264,K08265,K11260,K11261,K13942,K14126,K14127,K14128,K22480,K22481,K22482,K22516"
M00568,"Catechol ortho-cleavage, catechol => 3-oxoadipate",5,"K01055,K01856,K03381,K03464,K14727"
M00569,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",12,"K00446,K01617,K01666,K01821,K02554,K04073,K07104,K10216,K10217,K18364,K18365,K18366"
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",8,"K00053,K00826,K01652,K01653,K01687,K01754,K11258,K17989"
M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",10,"K00059,K00208,K00647,K02169,K02170,K02372,K09458,K09789,K19560,K19561"
M00573,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",5,"K00652,K01012,K01935,K16593,K19563"
M00574,"Pertussis pathogenicity signature, pertussis toxin",5,"K11023,K11024,K11025,K11026,K11027"
M00575,"Pertussis pathogenicity signature, T1SS",5,"K07389,K11003,K11004,K12340,K22944"
M00576,"ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins",4,"K10928,K10929,K16883,K16884"
M00577,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",6,"K00652,K00833,K01012,K01906,K01935,K19563"
M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",4,"K00625,K00925,K13788,K15024"
M00580,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",5,"K01807,K08093,K08094,K13812,K13831"
M00595,"Thiosulfate oxidation by SOX complex, thiosulfate => sulfate",7,"K17222,K17223,K17224,K17225,K17226,K17227,K22622"
M00596,"Dissimilatory sulfate reduction, sulfate => H2S",5,"K00394,K00395,K00958,K11180,K11181"
M00597,Anoxygenic photosystem II,2,"K08928,K08929"
M00598,Anoxygenic photosystem I,4,"K08940,K08941,K08942,K08943"
M00608,"2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate",4,"K10977,K10978,K16792,K16793"
M00609,"Cysteine biosynthesis, methionine => cysteine",6,"K00789,K01243,K07173,K17216,K17217,K17462"
M00611,Oxygenic_photosynthesis_in_plants_and_cyanobacteria,29,"K00134,K00150,K00615,K00855,K00927,K01086,K01100,K01601,K01602,K01623,K01624,K01807,K01808,K02446,K02689,K02690,K02691,K02692,K02693,K02694,K02703,K02704,K02705,K02706,K02707,K02708,K03841,K05298,K11532"
M00612,Anoxygenic_photosynthesis_in_purple_bacteria,19,"K00134,K00150,K00615,K00855,K00927,K01086,K01100,K01601,K01602,K01623,K01624,K01807,K01808,K02446,K03841,K05298,K08928,K08929,K11532"
M00613,Anoxygenic_photosynthesis_in_green_nonsulfur_bacteria,23,"K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K08691,K08928,K08929,K09709,K14449,K14468,K14469,K14470,K14471,K14472,K15052"
M00614,Anoxygenic_photosynthesis_in_green_sulfur_bacteria,47,"K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K08940,K08941,K08942,K08943,K15230,K15231,K15232,K15233,K15234,K18556,K18557,K18558,K18559,K18560"
M00615,Nitrate_assimilation,11,"K00360,K00366,K00367,K00372,K02575,K10534,K15576,K15577,K15578,K15579,K17877"
M00616,Sulfate-sulfur_assimilation,15,"K00380,K00381,K00390,K00392,K00860,K00955,K00956,K00957,K00958,K02045,K02046,K02047,K02048,K13811,K23163"
M00617,Methanogen,54,"K00125,K00193,K00194,K00197,K00200,K00201,K00202,K00203,K00204,K00205,K00319,K00320,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00582,K00583,K00584,K00625,K00672,K00925,K01499,K01895,K03388,K03389,K03390,K04480,K08264,K08265,K11260,K11261,K13788,K13942,K14080,K14081,K14082,K14083,K14084,K14126,K14127,K14128,K16176,K16177,K16178,K16179,K22480,K22481,K22482,K22516"
M00618,Acetogen,14,"K00194,K00197,K00198,K00297,K00625,K00925,K01491,K01938,K05299,K13788,K14138,K15022,K15023,K15024"
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",17,"K00024,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,K18209,K18210"
M00622,"Nicotinate degradation, nicotinate => fumarate",7,"K01799,K13995,K14974,K15357,K18028,K18029,K18030"
M00623,"Phthalate degradation, phthalate => protocatechuate",4,"K04102,K18067,K18068,K18069"
M00624,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",4,"K18074,K18075,K18076,K18077"
M00625,Methicillin resistance,3,"K02545,K02546,K02547"
M00627,"beta-Lactam resistance, Bla system",4,"K02171,K02172,K17836,K18766"
M00630,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",5,"K18102,K18103,K18106,K18107,K19634"
M00631,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",8,"K00041,K00874,K01625,K01685,K01812,K16849,K16850,K17463"
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",4,"K00849,K00965,K01784,K01785"
M00633,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",5,"K00131,K05308,K11395,K18126,K18978"
M00636,"Phthalate degradation, phthalate => protocatechuate",6,"K18251,K18252,K18253,K18254,K18255,K18256"
M00637,"Anthranilate degradation, anthranilate => catechol",7,"K05599,K05600,K11311,K16319,K16320,K18248,K18249"
M00638,"Salicylate degradation, salicylate => gentisate",4,"K14578,K14581,K18242,K18243"
M00639,"Multidrug resistance, efflux pump MexCD-OprJ",4,"K08721,K18294,K18295,K18296"
M00641,"Multidrug resistance, efflux pump MexEF-OprN",4,"K18297,K18298,K18299,K18300"
M00642,"Multidrug resistance, efflux pump MexJK-OprM",4,"K18139,K18301,K18302,K18303"
M00643,"Multidrug resistance, efflux pump MexXY-OprM",4,"K18094,K18095,K18129,K18139"
M00649,"Multidrug resistance, efflux pump AdeABC",5,"K18143,K18144,K18145,K18146,K18147"
M00651,"Vancomycin resistance, D-Ala-D-Lac type",11,"K07260,K08641,K15739,K18344,K18345,K18346,K18347,K18351,K18352,K18353,K18354"
M00652,"Vancomycin resistance, D-Ala-D-Ser type",5,"K18348,K18349,K18350,K18856,K18866"
M00660,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",18,"K03222,K03223,K03224,K03225,K03226,K03227,K03228,K03229,K03230,K18373,K18374,K18375,K18376,K18377,K18378,K18379,K18380,K18381"
M00661,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",3,"K18385,K18386,K18387"
M00664,Nodulation,4,"K14657,K14658,K14659,K14666"
M00672,"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",3,"K04126,K10852,K12743"
M00673,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",8,"K04126,K04127,K04128,K12743,K12744,K12745,K18062,K18063"
M00674,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",4,"K12673,K12674,K12675,K12676"
M00675,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",3,"K18315,K18316,K18317"
M00696,"Multidrug resistance, efflux pump AcrEF-TolC",4,"K12340,K18140,K18141,K18142"
M00697,"Multidrug resistance, efflux pump MdtEF-TolC",4,"K07690,K12340,K18898,K18899"
M00698,"Multidrug resistance, efflux pump BpeEF-OprC",4,"K18900,K18901,K18902,K18903"
M00700,"Multidrug resistance, efflux pump AbcA",3,"K18104,K18906,K18907"
M00702,"Multidrug resistance, efflux pump NorB",3,"K08170,K18906,K18907"
M00704,"Tetracycline resistance, efflux pump Tet38",2,"K08168,K18906"
M00705,"Multidrug resistance, efflux pump MepA",2,"K18908,K18909"
M00714,"Multidrug resistance, efflux pump QacA",2,"K08167,K18938"
M00718,"Multidrug resistance, efflux pump MexAB-OprM",4,"K03585,K18131,K18138,K18139"
M00725,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",6,"K03367,K03739,K03740,K14188,K19077,K19078"
M00726,"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",3,"K14205,K19077,K19078"
M00730,"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",4,"K19077,K19078,K19079,K19080"
M00736,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",6,"K05375,K19102,K19103,K19104,K19105,K19106"
M00740,Methylaspartate cycle,12,"K00024,K00031,K00261,K01647,K01681,K01846,K04835,K14449,K19268,K19280,K19281,K19282"
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",13,"K01847,K01848,K01849,K01964,K01965,K01966,K05606,K11263,K15036,K15037,K18472,K19312,K22568"
M00744,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",3,"K07637,K07660,K08477"
M00745,"Imipenem resistance, repression of porin OprD",6,"K07644,K07665,K18072,K18073,K18093,K18297"
M00746,"Multidrug resistance, repression of porin OmpF",3,"K09476,K13632,K18513"
M00761,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",4,"K07806,K10011,K10012,K13014"
M00763,"Ornithine biosynthesis, mediated by LysW, glutamate => ornithine",6,"K05826,K05828,K05829,K05830,K05831,K19412"
M00769,"Multidrug resistance, efflux pump MexPQ-OpmE",5,"K18304,K19591,K19593,K19594,K19595"
M00773,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",9,"K15988,K15989,K15990,K15991,K15992,K15993,K15994,K15995,K15996"
M00774,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",7,"K10817,K14366,K14367,K14368,K14369,K14370,K15997"
M00775,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",5,"K13320,K16007,K16008,K16009,K16010"
M00776,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",7,"K16000,K16001,K16002,K16003,K16004,K16005,K16006"
M00777,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",5,"K14371,K14372,K14373,K14374,K14375"
M00778,"Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",11,"K05551,K05552,K05553,K05554,K05555,K12420,K14249,K14250,K15884,K15885,K15886"
M00779,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",8,"K05556,K14626,K14627,K14628,K14629,K14630,K14631,K14632"
M00780,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",7,"K14251,K14252,K14253,K14254,K14255,K14256,K21301"
M00781,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",4,"K15941,K15942,K15943,K15944"
M00782,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",8,"K15959,K15960,K15961,K15963,K15964,K15965,K15966,K15967"
M00783,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",6,"K15886,K15968,K15969,K15970,K15971,K15972"
M00784,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",5,"K19566,K19567,K19568,K19569,K19570"
M00785,"Cycloserine biosynthesis, arginine/serine => cycloserine",6,"K19723,K19724,K19725,K19726,K19727,K19741"
M00786,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",9,"K14132,K14134,K17475,K17825,K17826,K17827,K18279,K18280,K18281"
M00787,"Bacilysin biosynthesis, prephenate => bacilysin",6,"K13037,K19546,K19547,K19548,K19549,K19550"
M00788,"Terpentecin biosynthesis, GGAP => terpentecin",2,"K19834,K19835"
M00789,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",7,"K14266,K19884,K19885,K19886,K19887,K19888,K19889"
M00790,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",4,"K14257,K14266,K19981,K19982"
M00793,dTDP-L-rhamnose biosynthesis,4,"K00067,K00973,K01710,K01790"
M00794,dTDP-6-deoxy-D-allose biosynthesis,2,"K13312,K13313"
M00795,dTDP-beta-L-noviose biosynthesis,3,"K12710,K17625,K19855"
M00796,dTDP-D-mycaminose biosynthesis,3,"K13307,K19853,K19854"
M00797,dTDP-D-desosamine biosynthesis,6,"K13308,K13309,K13310,K13311,K13326,K16436"
M00798,dTDP-L-mycarose biosynthesis,6,"K13315,K13316,K13317,K13318,K16435,K16438"
M00799,dTDP-L-oleandrose biosynthesis,5,"K13315,K16435,K16438,K19856,K19857"
M00800,dTDP-L-megosamine biosynthesis,5,"K13322,K13326,K16435,K16436,K16438"
M00801,dTDP-L-olivose biosynthesis,4,"K13319,K13327,K16435,K19858"
M00802,dTDP-D-forosamine biosynthesis,5,"K13327,K13328,K13329,K13330,K16435"
M00803,dTDP-D-angolosamine biosynthesis,4,"K13332,K16435,K16436,K19859"
M00804,"Complete nitrification, comammox, ammonia => nitrite => nitrate",6,"K00370,K00371,K10535,K10944,K10945,K10946"
M00805,"Staurosporine biosynthesis, tryptophan => staurosporine",8,"K20075,K20076,K20077,K20078,K20079,K20080,K20081,K20082"
M00808,"Violacein biosynthesis, tryptophan => violacein",5,"K20086,K20087,K20088,K20089,K20090"
M00810,"Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde",10,"K19185,K19186,K19187,K19188,K19818,K19819,K19820,K19826,K19890,K20155"
M00811,"Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde",8,"K15359,K18276,K19700,K20158,K20169,K20170,K20171,K20172"
M00814,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",8,"K19969,K19974,K19979,K20424,K20425,K20426,K20427,K20430"
M00815,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",9,"K19969,K20431,K20432,K20433,K20434,K20435,K20436,K20437,K20438"
M00819,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",7,"K12250,K15907,K17476,K17747,K18056,K18057,K18091"
M00823,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",9,"K14251,K14252,K14253,K14254,K14255,K14256,K14257,K21297,K21301"
M00824,"9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core",9,"K15314,K21160,K21161,K21162,K21163,K21164,K21165,K21166,K21167"
M00825,"10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core",8,"K15314,K21168,K21169,K21170,K21171,K21172,K21173,K21174"
M00826,"C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA",7,"K20156,K20159,K21175,K21176,K21177,K21178,K21179"
M00827,"C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP",6,"K16431,K21181,K21182,K21183,K21184,K21185"
M00828,"Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP",4,"K21181,K21182,K21183,K21188"
M00829,"3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA",3,"K15320,K21191,K21192"
M00830,"Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA",4,"K20420,K20421,K20422,K20423"
M00831,"Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA",5,"K21221,K21222,K21223,K21224,K21225"
M00832,"Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP",5,"K16431,K21183,K21185,K21227,K21228"
M00833,"Calicheamicin biosynthesis, calicheamicinone => calicheamicin",10,"K21254,K21255,K21256,K21257,K21258,K21259,K21260,K21261,K21262,K21263"
M00834,"Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP",5,"K21254,K21255,K21256,K21257,K21258"
M00835,"Pyocyanine biosynthesis, chorismate => pyocyanine",7,"K06998,K13063,K20260,K20261,K20262,K20940,K21103"
M00836,"Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430",5,"K21610,K21611,K21612,K22011,K22012"
M00837,"Prodigiosin biosynthesis, L-proline => prodigiosin",11,"K21428,K21778,K21779,K21780,K21781,K21782,K21783,K21784,K21785,K21786,K21787"
M00838,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin",11,"K21780,K21781,K21782,K21783,K21784,K21785,K21786,K21787,K21791,K21792,K21793"
M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF",6,"K00287,K01633,K13941,K14652,K22099,K22100"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF",5,"K01495,K11754,K13941,K13998,K22101"
M00842,"Tetrahydrobiopterin biosynthesis, GTP => BH4",3,"K00072,K01495,K01737"
M00843,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",3,"K01495,K01737,K17745"
M00844,"Arginine biosynthesis, ornithine => arginine",4,"K00611,K01755,K01940,K14681"
M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",7,"K00145,K00821,K01438,K01755,K01940,K09065,K22478"
M00846,"Siroheme biosynthesis, glutamate => siroheme",14,"K00589,K01698,K01719,K01749,K01845,K02302,K02303,K02304,K02492,K02496,K03794,K13542,K13543,K24866"
M00847,"Heme biosynthesis, archaea, siroheme => heme",3,"K22225,K22226,K22227"
M00848,"Aurachin biosynthesis, anthranilate => aurachin A",11,"K02078,K09460,K14245,K14246,K21271,K21272,K22798,K22799,K22800,K22801,K22802"
M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",11,"K00021,K00054,K00626,K00869,K01641,K01823,K06981,K17942,K18689,K18690,K22813"
M00850,"Vibrio cholerae pathogenicity signature, cholera toxins",7,"K10928,K10929,K10948,K10952,K10953,K10954,K11018"
M00851,Carbapenem resistance,21,"K18768,K18780,K18781,K18782,K18793,K18794,K18970,K18971,K18972,K18976,K19099,K19211,K19216,K19316,K19318,K19319,K19320,K19321,K19322,K21277,K22346"
M00852,"Vibrio cholerae pathogenicity signature, toxin coregulated pilus",14,"K10919,K10920,K10930,K10931,K10932,K10933,K10934,K10935,K10961,K10962,K10963,K10964,K10965,K10966"
M00853,"ETEC pathogenicity signature, colonization factors",5,"K22850,K22851,K22852,K22853,K22854"
M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch",11,"K00693,K00700,K00703,K00750,K00963,K00975,K13679,K16149,K16150,K16153,K20812"
M00855,"Glycogen degradation, glycogen => glucose-6P",10,"K00688,K00705,K01196,K01200,K01835,K02438,K15778,K15779,K16153,K22451"
M00856,"Salmonella enterica pathogenicity signature, typhoid toxin",4,"K11014,K11023,K19298,K22918"
M00857,"Salmonella enterica pathogenicity signature, Vi antigen",10,"K22914,K22915,K22916,K22917,K22921,K22922,K22923,K22924,K22925,K22926"
M00859,"Bacillus anthracis pathogenicity signature, anthrax toxin",3,"K08645,K11029,K11030"
M00860,"Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",7,"K01932,K07282,K22116,K22976,K22977,K22980,K22981"
M00861,"beta-Oxidation, peroxisome, VLCFA",4,"K00232,K07513,K08764,K12405"
M00862,"beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA",3,"K08764,K10214,K12405"
M00866,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",11,"K00677,K00748,K00912,K02517,K02527,K02535,K02536,K03269,K09778,K09949,K16363"
M00867,KDO2-lipid A modification pathway,6,"K03760,K09953,K12977,K23082,K23083,K23159"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme",8,"K00228,K00231,K00643,K01599,K01698,K01719,K01749,K01772"
M00872,"O-glycan biosynthesis, mannose type (core M3)",10,"K00728,K09654,K09668,K17547,K18207,K19872,K19873,K21031,K21032,K21052"
M00873,"Fatty acid biosynthesis in mitochondria, animals",8,"K00645,K03955,K07512,K09458,K11539,K13370,K18660,K22540"
M00874,"Fatty acid biosynthesis in mitochondria, fungi",7,"K00059,K00645,K03955,K07512,K09458,K11262,K22541"
M00875,"Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",7,"K21721,K21949,K23371,K23372,K23373,K23374,K23375"
M00876,"Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A",3,"K21898,K23446,K23447"
M00877,"Kanosamine biosynthesis, glucose 6-phosphate => kanosamine",3,"K18652,K18653,K18654"
M00878,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",11,"K00074,K01692,K01912,K02609,K02610,K02611,K02612,K02613,K02615,K02618,K15866"
M00879,"Arginine succinyltransferase pathway, arginine => glutamate",5,"K00673,K00840,K01484,K05526,K06447"
M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",9,"K03635,K03637,K03638,K03639,K03750,K03831,K15376,K20967,K21142"
M00889,"Puromycin biosynthesis, ATP => puromycin",9,"K12628,K12629,K12630,K12631,K12632,K12633,K12634,K12635,K12636"
M00890,"Roseoflavin biosynthesis, FMN => roseoflavin",2,"K22269,K22598"
M00891,"Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline",3,"K21477,K23646,K23647"
