Module,Thermoplasmata RBG-16-68-12 - MAG01,Unclassified MAG - MAG02,Candidatus Aminicenantes  - MAG03,Acidobacteria bacterium U - MAG04,Candidatus Bathyarchaeota - MAG05,Candidatus Bathyarchaeota - MAG06,Candidatus Bathyarchaeota - MAG07,Trebonia kvetii - MAG08,Anaeromyxobacter sp. Red267 - MAG09,Candidatus Bathyarchaeota - MAG10,Nitrososphaeria archeon E - MAG11,Dehalococcoides mccartyi - MAG12,Nitrospirales bacterium L - MAG13,Spirochaetes bacterium RB - MAG14,Bacteroidota UBA6906 - MAG15,Candidatus Bathyarchaeota - MAG16,Thermoplasmata archaeon S - MAG17,Dehalococcoidia bacterium - MAG18,Euryarchaeota archaeon RB - MAG19,Candidatus Bathyarchaeota - MAG20,Candidatus Bathyarchaeota - MAG21,Candidatus Bathyarchaeota - MAG22,Candidatus Bathyarchaeota - MAG24,Nitrosotalea sp - MAG25,Burkholderiales bacterium - MAG26,Planctomycetes bacterium  - MAG27,Unclassified MAG - MAG28,Candidatus Aminicenantes  - MAG29,Anaerolineales bacterium - MAG30,Thermoflexales bacterium - MAG31,Lokiarchaeia archaeon - MAG32,Thermoflexales bacterium  - MAG33,Hydrococcus - MAG34,Acidobacteria bacterium U - MAG35,Candidatus Bathyarchaeota - MAG36,Euryarchaeota archaeon RB - MAG37,Candidatus Bathyarchaeota - MAG38,Lokiarchaeia archaeon - MAG39,Desulfobacterota bacteriu - MAG40,Dehalococcoidia bacterium - MAG41,Dehalococcoidia bacterium - MAG42,Acidobacteria bacterium U - MAG43,Anaerolineae bacterium UB - MAG44,Candidatus Aminicenantes  - MAG45,Candidatus Methanopereden - MAG46,Unclassified MAG - MAG47,Lokiarchaeia archaeon - MAG48
"M00120 | Coenzyme A biosynthesis, pantothenate => CoA",0.6,0.2,0.8,0.8,0.2,0.6,0.2,1.0,0.8,0.6,0.2,1.0,1.0,0.0,0.4,0.2,0.6,1.0,0.4,0.0,0.2,0.0,0.2,0.6,0.8,0.8,0.0,0.8,1.0,0.0,0.4,0.2,0.8,1.0,0.2,0.4,0.0,0.6,1.0,0.4,0.8,0.8,0.6,1.0,0.0,0.0,0.2
"M00096 | C5 isoprenoid biosynthesis, non-mevalonate pathway",0.125,0.0,0.75,0.625,0.125,0.125,0.125,0.75,0.75,0.125,0.0,0.875,0.875,0.25,0.875,0.125,0.125,0.875,0.125,0.125,0.125,0.125,0.0,0.0,0.875,0.125,0.0,0.375,0.125,0.125,0.125,0.125,1.0,0.75,0.0,0.125,0.125,0.125,0.875,0.75,0.75,0.75,0.0,0.875,0.125,0.125,0.0
"M00844 | Arginine biosynthesis, ornithine => arginine",0.3333333333333333,0.6666666666666667,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
"M00026 | Histidine biosynthesis, PRPP => histidine",0.0,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,0.0,0.7777777777777777,1.0,0.0,0.4444444444444444,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.125,0.0,0.125,0.7777777777777777,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.6666666666666667,1.0,0.0,0.125,0.0,0.0,0.0,0.125,0.3333333333333333,0.8888888888888888,0.6666666666666667,0.1111111111111111,0.0,0.75,0.0,0.7777777777777777,0.625,0.5555555555555556,0.125,0.625,0.125,0.1111111111111111,0.0,0.2222222222222222
"M00880 | Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",0.8,0.6,0.0,1.0,0.4,0.0,1.0,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.0,0.4,0.0,1.0,0.6,0.8,0.8,0.4,0.8,0.0,1.0,0.8,0.2,0.0,1.0,0.8,0.2,0.6,1.0,0.8,0.4,0.8,0.6,0.0,0.4,0.8,0.4,0.8,1.0,0.2,0.8,0.4,0.0
"M00125 | Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",0.4444444444444444,0.1111111111111111,0.6666666666666667,0.3333333333333333,0.0,0.2222222222222222,0.0,0.7777777777777777,0.8888888888888888,0.0,0.0,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.6666666666666667,0.0,0.4444444444444444,0.8888888888888888,0.4444444444444444,0.0,0.0,0.0,0.0,0.2222222222222222,0.8888888888888888,0.7777777777777777,0.2222222222222222,0.6666666666666667,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.6666666666666667,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222
"M00083 | Fatty acid biosynthesis, elongation",0.25,0.0,0.75,1.0,0.25,0.5,0.0,0.5,0.75,0.0,0.25,0.5,1.0,0.5,1.0,0.25,0.0,1.0,0.25,0.0,0.25,0.5,0.0,0.0,1.0,0.75,0.25,0.5,0.75,0.25,0.25,0.75,1.0,0.75,0.25,0.25,0.25,0.25,1.0,0.75,0.5,1.0,0.5,0.75,0.0,0.5,0.25
M00087 | beta-Oxidation,0.5,0.0,0.0,1.0,0.5,0.5,0.25,0.5,1.0,0.5,0.0,0.75,0.25,0.25,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.25,0.5,0.0,1.0,0.5,0.0,0.25,0.75,0.5,0.75,0.75,0.0,1.0,0.25,0.25,0.25,0.5,1.0,0.75,0.0,0.75,1.0,0.0,0.25,0.5,0.5
"M00018 | Threonine biosynthesis, aspartate => homoserine => threonine",0.2,0.6,0.2,0.4,0.0,0.8,0.2,1.0,0.8,0.0,0.6,0.8,0.8,0.8,0.2,0.2,0.0,0.8,0.2,0.0,0.2,1.0,0.0,0.8,1.0,0.6,0.2,0.2,0.4,0.2,0.2,0.8,1.0,0.6,0.4,0.4,0.8,0.2,0.8,0.8,0.8,0.4,1.0,0.4,0.0,0.0,0.2
"M00093 | Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.3333333333333333,1.0,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0
