ST8_group,study_name,data_layers,n_records,sample_ids,taxon_oids,GOLD_study_ids,NCBI_BioProject_accessions,habitats,locations,summary,IMG_portal_url,GOLD_search_url,NCBI_BioProject_url,PubMed_search_url,Google_Scholar_search_url,bibliographic_status,iron_environment_context,context_reference,n_metagenomes_in_ST8,ncbi_bioprojects,gold_study_ids,ncbi_bioproject_url,gold_study_url,pubmed_article_url,bibliographic_reference_or_candidate,doi_or_primary_article_url
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States",Metatranscriptomics,2,S2; S14,3300055056; 3300055062,Gs0145645,PRJNA1343333; PRJNA1340724,acid mine drainage,"USA: Akron, Ohio","2 IMG/M record(s) in the curated ST8 comparison. Group: Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD. Data layer(s): Metatranscriptomics. Habitat(s): acid mine drainage. Location(s): USA: Akron, Ohio.",https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio%2C+United+States,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1343333,https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio%2C+United+States,https://scholar.google.com/scholar?q=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio%2C+United+States,metadata-linked search; confirm publication manually before manuscript citation,Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,,2,PRJNA1343333; PRJNA1340724,Gs0145645,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1343333,https://gold.jgi.doe.gov/study?id=Gs0145645,,,
Ferruginous lake/sediment group: Lake Matano,Methane metabolizing microbial communities from different methane-rich environments from various locations,Metagenomics,3,S8; S10; S12,3300023177; 3300024300; 3300024333,Gs0127566,PRJNA468228; PRJNA468225; PRJNA468227,freshwater,Indonesia: South Sulawesi,3 IMG/M record(s) in the curated ST8 comparison. Group: Ferruginous lake/sediment group: Lake Matano. Data layer(s): Metagenomics. Habitat(s): freshwater. Location(s): Indonesia: South Sulawesi.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA468228,https://pubmed.ncbi.nlm.nih.gov/?term=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,https://scholar.google.com/scholar?q=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,metadata-linked search; confirm publication manually before manuscript citation,Ferruginous lake/sediment group: Lake Matano,,3,PRJNA468228; PRJNA468225; PRJNA468227,Gs0127566,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA468228,https://gold.jgi.doe.gov/study?id=Gs0127566,,,
Ferruginous lake/sediment group: Lake Superior,Freshwater microbial and viral communities from the Laurentian Great Lakes in the United States and Canada,Metatranscriptomics,1,S9,3300061576,Gs0135713,PRJNA1339124,Freshwater,United States: Michigan,1 IMG/M record(s) in the curated ST8 comparison. Group: Ferruginous lake/sediment group: Lake Superior. Data layer(s): Metatranscriptomics. Habitat(s): Freshwater. Location(s): United States: Michigan.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1339124,https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,https://scholar.google.com/scholar?q=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,metadata-linked search; confirm publication manually before manuscript citation,Ferruginous lake/sediment group: Lake Superior,,1,PRJNA1339124,Gs0135713,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1339124,https://gold.jgi.doe.gov/study?id=Gs0135713,,,
Ferruginous lake/sediment group: Lake Towuti,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia",Metagenomics,4,S5; S6; S11; S16,3300031604; 3300021518; 3300031593; 3300031877,Gs0131992,PRJNA539344; PRJNA439834; PRJNA539342; PRJNA539347,sediment; Freshwater sediment,Indonesia: South Sulawesi,4 IMG/M record(s) in the curated ST8 comparison. Group: Ferruginous lake/sediment group: Lake Towuti. Data layer(s): Metagenomics. Habitat(s): sediment; Freshwater sediment. Location(s): Indonesia: South Sulawesi.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Freshwater+sediment+microbial+communities+from+Lake+Towuti%2C+South+Sulawesi%2C+Indonesia,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA539344,https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+sediment+microbial+communities+from+Lake+Towuti%2C+South+Sulawesi%2C+Indonesia,https://scholar.google.com/scholar?q=Freshwater+sediment+microbial+communities+from+Lake+Towuti%2C+South+Sulawesi%2C+Indonesia,metadata-linked search; confirm publication manually before manuscript citation,Ferruginous lake/sediment group: Lake Towuti,,4,PRJNA539344; PRJNA439834; PRJNA539342; PRJNA539347,Gs0131992,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA539344,https://gold.jgi.doe.gov/study?id=Gs0131992,,,
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid Mine Drainage (AMD) microbial and viral communities from Richmond mine, Iron Mountain, CA",Metagenomics,1,S17,2010484004,Gs0053288,PRJNA337102,Acid Mine Drainage (AMD),Iron Mountain California,1 IMG/M record(s) in the curated ST8 comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metagenomics. Habitat(s): Acid Mine Drainage (AMD). Location(s): Iron Mountain California.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Acid+Mine+Drainage+%28AMD%29+microbial+and+viral+communities+from+Richmond+mine%2C+Iron+Mountain%2C+CA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA337102,https://pubmed.ncbi.nlm.nih.gov/?term=Acid+Mine+Drainage+%28AMD%29+microbial+and+viral+communities+from+Richmond+mine%2C+Iron+Mountain%2C+CA,https://scholar.google.com/scholar?q=Acid+Mine+Drainage+%28AMD%29+microbial+and+viral+communities+from+Richmond+mine%2C+Iron+Mountain%2C+CA,metadata-linked search; confirm publication manually before manuscript citation,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,,1,PRJNA337102,Gs0053288,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA337102,https://gold.jgi.doe.gov/study?id=Gs0053288,,,
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid mine drainage (AMD) microbial communities from Richmond mine in California, USA",Metatranscriptomics,1,S18,3300008723,Gs0117981,PRJNA210320,Acid mine drainage,"USA: Richmond, California","1 IMG/M record(s) in the curated ST8 comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metatranscriptomics. Habitat(s): Acid mine drainage. Location(s): USA: Richmond, California.",https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+%28AMD%29+microbial+communities+from+Richmond+mine+in+California%2C+USA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210320,https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+%28AMD%29+microbial+communities+from+Richmond+mine+in+California%2C+USA,https://scholar.google.com/scholar?q=Acid+mine+drainage+%28AMD%29+microbial+communities+from+Richmond+mine+in+California%2C+USA,metadata-linked search; confirm publication manually before manuscript citation,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,,1,PRJNA210320,Gs0117981,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210320,https://gold.jgi.doe.gov/study?id=Gs0117981,,,
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",Metagenomics,4,S1; S3; S4; S13,3300038731; 3300038487; 3300030091; 3300030335,Gs0129031,PRJNA76185,Acid mine drainage,"USA: Iron Mountain, California","4 IMG/M record(s) in the curated ST8 comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metagenomics. Habitat(s): Acid mine drainage. Location(s): USA: Iron Mountain, California.",https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine%2C+California%2C+USA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA76185,https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine%2C+California%2C+USA,https://scholar.google.com/scholar?q=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine%2C+California%2C+USA,metadata-linked search; confirm publication manually before manuscript citation,Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,,4,PRJNA76185,Gs0129031,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA76185,https://gold.jgi.doe.gov/study?id=Gs0129031,,,
Optional outgroup: Hydrothermal Fe-rich mats,Hydrothermal Fe-rich Mat Reference Genomes,Metagenomics,3,S7; S15; S19,3300023307; 3300023310; 3300023442,Gs0133538,,Hydrothermal Fe-rich mat,"International: Urashima Vent Field, Mariana Arc; USA: Loihi Seamount, Hawaii; International: Rainbow Site, Mid-Atlantic Ridge","3 IMG/M record(s) in the curated ST8 comparison. Group: Optional outgroup: Hydrothermal Fe-rich mats. Data layer(s): Metagenomics. Habitat(s): Hydrothermal Fe-rich mat. Location(s): International: Urashima Vent Field, Mariana Arc; USA: Loihi Seamount, Hawaii; International: Rainbow Site, Mid-Atlantic Ridge.",https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Hydrothermal+Fe-rich+Mat+Reference+Genomes,,https://pubmed.ncbi.nlm.nih.gov/?term=Hydrothermal+Fe-rich+Mat+Reference+Genomes,https://scholar.google.com/scholar?q=Hydrothermal+Fe-rich+Mat+Reference+Genomes,metadata-linked search; confirm publication manually before manuscript citation,Optional outgroup: Hydrothermal Fe-rich mats,https://doi.org/10.1101/722066,3,,Gs0133538,,https://gold.jgi.doe.gov/study?id=Gs0133538,,"McAllister et al., hydrothermal Fe-rich mat metagenomes (bioRxiv DOI: 10.1101/722066; verify before final citation)",https://doi.org/10.1101/722066
