rank,original_name,current_name,ncbi_taxid,status,matched_name_class,source
Family,Alteromonadaceae,Alteromonadaceae,72275,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Amanitaceae,Amanitaceae,41954,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ambisporaceae,Ambisporaceae,453565,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Amoebophilaceae,Amoebophilaceae,1501348,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Amoebophryaceae,Amoebophryaceae,88548,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Amorphaceae,Amorphaceae,2685818,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Anaerohalosphaeraceae,Anaerohalosphaeraceae,2690158,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Anaerolineaceae,Anaerolineaceae,292628,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Anaeromyxobacteraceae,Anaeromyxobacteraceae,1524215,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Anaeroplasmataceae,Anaeroplasmataceae,186333,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Anaplasmataceae,Anaplasmataceae,942,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ancalomicrobiaceae,Ancalomicrobiaceae,2172021,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ancylistaceae,Ancylistaceae,34486,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Andaluciidae,Andaluciidae,2683624,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
