taxon,hex_colour
Candidatus Micrarchaeum acidiphilum,#AF1480
Candidatus Micrarchaeum sp.,#5AD26F
Candidatus Micrarchaeum sp. ARMAN-1,#16A674
Candidatus Microgenomates,#F06292
Candidatus Microgenomates bacterium,#1DE5DD
Candidatus Micropelagos,#9076E3
Candidatus Micropelagos thuwalensis,#E39C6B
Candidatus Microthrix,#57CE39
Candidatus Microthrix parvicella,#E4F55E
Candidatus Midichloria,#9C9B17
Candidatus Midichloria mitochondrii,#DC5FED
Candidatus Midichloriaceae,#C2EA20
Candidatus Moanabacter,#F2D95D
Candidatus Moanabacter tarae,#1AA46D
Candidatus Moduliflexus,#AD1732
Candidatus Moduliflexus flocculans,#6DD8CD
Candidatus Moranbacteria,#A64A19
Candidatus Moranbacteria bacterium,#2FD757
Candidatus Moranbacteria bacterium CG06_land_8_20_14_3_00_40_12,#B82B88
Candidatus Moranbacteria bacterium CG06_land_8_20_14_3_00_43_56,#1C7FD0
Candidatus Moranbacteria bacterium CG08_land_8_20_14_0_20_34_16,#49F0D7
Candidatus Moranbacteria bacterium CG17_big_fil_post_rev_8_21_14_2_50_44_12,#D2F744
Candidatus Moranbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_35_22,#282FD3
Candidatus Moranbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_39_10,#987022
Candidatus Moranbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_40_16,#341CA2
Candidatus Moranbacteria bacterium CG_4_8_14_3_um_filter_41_13,#D2EC14
Candidatus Moranbacteria bacterium CG_4_8_14_3_um_filter_43_15,#5E74D9
Candidatus Moranbacteria bacterium CG_4_9_14_3_um_filter_33_15,#90241E
Candidatus Moranbacteria bacterium CG_4_9_14_3_um_filter_36_9,#2BA763
Candidatus Moranbacteria bacterium CG_4_9_14_3_um_filter_40_7,#88A820
Candidatus Moranbacteria bacterium CG_4_9_14_3_um_filter_42_9,#5FDEB0
Candidatus Moranbacteria bacterium GW2011_GWA2_39_41,#9D2AD2
Candidatus Moranbacteria bacterium GW2011_GWD2_37_9,#C37825
Candidatus Moranbacteria bacterium GW2011_GWE1_35_17,#A4E641
Candidatus Moranbacteria bacterium GW2011_GWE1_49_15,#E75A83
Candidatus Moranbacteria bacterium GW2011_GWF1_34_10,#ABC81E
Candidatus Moranbacteria bacterium GW2011_GWF1_36_78,#DE32E2
Candidatus Moranbacteria bacterium GW2011_GWF2_35_39,#5ADFB0
Candidatus Moranbacteria bacterium RBG_13_45_13,#C11089
Candidatus Moranbacteria bacterium RBG_19FT_COMBO_42_6,#8621CA
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_54_31,#901E92
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_55_24,#7AD814
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_02_FULL_40_12b,#A262EA
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_12_FULL_40_10,#50CE8D
Candidatus Moranbacteria bacterium RIFCSPLOWO2_12_FULL_48_12,#229CCF
Candidatus Moranbacteria bacterium RIFOXYA12_FULL_44_15,#8AE11C
Candidatus Moranbacteria bacterium RIFOXYA2_FULL_43_15,#5774E3
Candidatus Moranbacteria bacterium RIFOXYB1_FULL_43_19,#955223
Candidatus Moranbacteria bacterium RIFOXYD1_FULL_44_12,#ECC611
Candidatus Moranella,#6284F6
Candidatus Moranella endobia,#6D10C2
Candidatus Muirbacteria,#531E93
Candidatus Muirbacterium,#0AB24E
Candidatus Muirbacterium halophilum,#33C772
Candidatus Muproteobacteria,#ECA521
Candidatus Muproteobacteria bacterium RBG_16_60_9,#65D717
Candidatus Muproteobacteria bacterium RBG_16_62_13,#B662E3
Candidatus Muproteobacteria bacterium RBG_16_64_10,#7F238D
Candidatus Muproteobacteria bacterium RBG_16_64_11,#20BAEE
Candidatus Muproteobacteria bacterium RBG_16_65_31,#6A53EC
Candidatus Muproteobacteria bacterium RBG_16_65_34,#AF990D
Candidatus Muproteobacteria bacterium RBG_19FT_COMBO_61_10,#5110A8
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_01_60_12,#CA32CD
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_01_FULL_61_200,#5DF271
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_01_FULL_65_16,#4A9F21
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_02_FULL_60_13,#3297E9
Candidatus Muproteobacteria bacterium RIFCSPHIGHO2_02_FULL_65_16,#A12C95
Candidatus Muproteobacteria bacterium RIFCSPLOWO2_01_FULL_60_18,#41CBCE
Candidatus Mycoplasma haemohominis,#27A076
Candidatus Mycosynbacter,#DB5EB4
Candidatus Mycosynbacter amalyticus,#EA8949
Candidatus Nanoarchaeia,#A3521F
Candidatus Nanobsidianus,#D6E94C
Candidatus Nanobsidianus stetteri,#2FB153
Candidatus Nanohaloarchaeota,#B166D6
Candidatus Nanohaloarchaeota archaeon,#59E99A
Candidatus Nanohalobia,#9B4DEF
Candidatus Nanohalobiaceae,#36F2EA
Candidatus Nanohalobiales,#962B9C
Candidatus Nanohalobium,#572A9F
Candidatus Nanohalobium constans,#F83EB2
Candidatus Nanopelagicaceae,#E56666
Candidatus Nanopelagicales,#14719D
Candidatus Nanopelagicus,#E72B22
Candidatus Nanopelagicus abundans,#CD42E5
Candidatus Nanopelagicus limnes,#2B58C7
Candidatus Nanoperiomorbaceae,#21E1F7
Candidatus Nanoperiomorbales,#41F67D
Candidatus Nanoperiomorbia,#2690BE
Candidatus Nanoperiomorbus,#C3D04E
Candidatus Nanoperiomorbus periodonticus,#65B20C
Candidatus Nanosalinarum,#337BB9
Candidatus Nanosalinarum sp. J07AB56,#DCCA61
Candidatus Nanosyncoccacae,#65E699
Candidatus Nanosyncoccales,#42D151
Candidatus Nanosyncoccalia,#7F1F9E
Candidatus Nanosyncoccus,#F6C45D
Candidatus Nanosyncoccus alces,#89B714
Candidatus Nardonella,#8943D8
Candidatus Nealsonbacteria,#E33149
Candidatus Nealsonbacteria bacterium,#ABD669
Candidatus Nealsonbacteria bacterium CG01_land_8_20_14_3_00_12,#5777F7
Candidatus Nealsonbacteria bacterium CG02_land_8_20_14_3_00_37_10,#45B4DA
Candidatus Nealsonbacteria bacterium CG02_land_8_20_14_3_00_40_11,#D85CD0
Candidatus Nealsonbacteria bacterium CG03_land_8_20_14_0_80_36_12,#0F93B8
Candidatus Nealsonbacteria bacterium CG07_land_8_20_14_0_80_40_10,#D9C372
Candidatus Nealsonbacteria bacterium CG08_land_8_20_14_0_20_36_22,#DE1486
Candidatus Nealsonbacteria bacterium CG08_land_8_20_14_0_20_38_20,#4C9E12
Candidatus Nealsonbacteria bacterium CG08_land_8_20_14_0_20_43_11,#1EEA48
Candidatus Nealsonbacteria bacterium CG09_land_8_20_14_0_10_42_14,#69D941
Candidatus Nealsonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_36_228,#D1C34F
Candidatus Nealsonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_36_23,#CFB129
Candidatus Nealsonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_36_24,#AD5822
Candidatus Nealsonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_37_25,#6B16B8
Candidatus Nealsonbacteria bacterium CG11_big_fil_rev_8_21_14_0_20_35_11,#47CD36
Candidatus Nealsonbacteria bacterium CG11_big_fil_rev_8_21_14_0_20_37_68,#C86AEA
Candidatus Nealsonbacteria bacterium CG11_big_fil_rev_8_21_14_0_20_39_9,#94871B
Candidatus Nealsonbacteria bacterium CG15_BIG_FIL_POST_REV_8_21_14_020_37_12,#785CE9
Candidatus Nealsonbacteria bacterium CG18_big_fil_WC_8_21_14_2_50_37_10,#C88531
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_36_12,#37A1F7
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_36_125,#CA3AAB
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_37_18,#D22747
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_38_19,#97B823
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_39_17,#0EA9F6
Candidatus Nealsonbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_39_25,#E3459E
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_2_um_filter_35_20,#3A0EDA
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_2_um_filter_37_10,#39A01B
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_2_um_filter_38_17,#3226C8
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_2_um_filter_39_15,#4AE459
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_2_um_filter_40_15,#A86815
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_8_um_filter_35_10,#A76629
Candidatus Nealsonbacteria bacterium CG_4_10_14_0_8_um_filter_37_14,#4920E2
Candidatus Nealsonbacteria bacterium CG_4_10_14_3_um_filter_36_16,#5F9FF9
Candidatus Nealsonbacteria bacterium CG_4_8_14_3_um_filter_34_13,#8D6FDA
Candidatus Nealsonbacteria bacterium CG_4_8_14_3_um_filter_37_23,#EF6E1D
Candidatus Nealsonbacteria bacterium CG_4_8_14_3_um_filter_37_36,#9D31DA
Candidatus Nealsonbacteria bacterium CG_4_8_14_3_um_filter_39_7,#C3327F
Candidatus Nealsonbacteria bacterium CG_4_9_14_0_8_um_filter_35_12,#70D132
Candidatus Nealsonbacteria bacterium CG_4_9_14_0_8_um_filter_36_17,#A31619
Candidatus Nealsonbacteria bacterium CG_4_9_14_3_um_filter_35_11,#EB172A
Candidatus Nealsonbacteria bacterium CG_4_9_14_3_um_filter_37_13,#14C61C
Candidatus Nealsonbacteria bacterium CG_4_9_14_3_um_filter_37_29,#E57748
Candidatus Nealsonbacteria bacterium RBG_13_36_15,#56A8EF
Candidatus Nealsonbacteria bacterium RBG_13_37_56,#5388EC
Candidatus Nealsonbacteria bacterium RBG_13_38_11,#63F847
Candidatus Nealsonbacteria bacterium RBG_13_42_11,#13A2DF
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_41_9,#4BCF55
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_32,#99EA25
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_02_39_8,#0BCC0E
Candidatus Nealsonbacteria bacterium RIFOXYB1_FULL_40_15,#122DA0
Candidatus Nealsonbacteria bacterium RIFOXYD1_FULL_39_11,#E5B24D
Candidatus Neoehrlichia,#EABC35
Candidatus Neoehrlichia lotoris,#2438C6
Candidatus Nephrothrix,#C71493
Candidatus Nephrothrix sp. EaCA,#0AB37B
Candidatus Neptunochlamydia,#B11276
Candidatus Neptunochlamydia vexilliferae,#CCDD6F
Candidatus Nesciobacter,#456EF0
Candidatus Nesciobacter abundans,#B51163
Candidatus Nezhaarchaeota,#2A13D8
Candidatus Nezhaarchaeota archaeon WYZ-LMO7,#D65D42
Candidatus Nezhaarchaeota archaeon WYZ-LMO8,#D458E9
Candidatus Nitrocaldera,#4133C8
Candidatus Nitrocaldera robusta,#6B24D0
Candidatus Nitrohelix,#36B9CF
Candidatus Nitrohelix vancouverensis,#F21CB2
Candidatus Nitromaritima,#A445F2
Candidatus Nitromaritima sp. SCGC AAA799-A02,#1C1CCD
Candidatus Nitromaritima sp. SCGC AAA799-C22,#85E861
Candidatus Nitronauta,#72B92D
Candidatus Nitronauta litoralis,#3DF59B
Candidatus Nitrosacidococcus,#D7404A
Candidatus Nitrosacidococcus tergens,#3AE99E
Candidatus Nitrosarchaeum limnium,#AB8130
Candidatus Nitrosocaldaceae,#8E16E6
Candidatus Nitrosocaldales,#E05C65
Candidatus Nitrosocaldus,#52B823
Candidatus Nitrosocaldus cavascurensis,#BFD90D
Candidatus Nitrosocosmicus,#E83A68
Candidatus Nitrosocosmicus arcticus,#0AEC6B
Candidatus Nitrosocosmicus franklandus,#622193
Candidatus Nitrosocosmicus hydrocola,#AE36D2
Candidatus Nitrosocosmicus oleophilus,#DAB255
Candidatus Nitrosocosmicus sp. SS,#4598D7
Candidatus Nitrosoglobus,#E567A6
Candidatus Nitrosoglobus terrae,#CA0829
Candidatus Nitrosomarinus,#E15FAC
Candidatus Nitrosomarinus catalina,#8B60D7
Candidatus Nitrosomarinus sp.,#E0C01A
Candidatus Nitrosopelagicus,#B452DD
Candidatus Nitrosopelagicus brevis,#F325B3
Candidatus Nitrosopelagicus sp.,#123DF4
Candidatus Nitrosopumilus salaria,#B1EB3D
Candidatus Nitrosopumilus sediminis,#C76AD7
Candidatus Nitrosopumilus sp. SW,#0D9FE4
Candidatus Nitrososphaera evergladensis,#F36914
Candidatus Nitrososphaera gargensis,#ED63A1
Candidatus Nitrosotalea,#995F29
Candidatus Nitrosotalea bavarica,#5DBEF3
Candidatus Nitrosotalea devanaterra,#D7D33E
Candidatus Nitrosotalea okcheonensis,#A6EC6E
Candidatus Nitrosotalea sinensis,#60EABA
Candidatus Nitrosotalea sp. FS,#10B06A
Candidatus Nitrosotalea sp. TS,#5F26B5
Candidatus Nitrosotenuis,#05AC2D
Candidatus Nitrosotenuis aquarius,#E221C1
Candidatus Nitrosotenuis chungbukensis,#4CF5F1
Candidatus Nitrosotenuis cloacae,#3906B5
Candidatus Nitrosotenuis sp.,#4F24A0
Candidatus Nitrosotenuis sp. DW1,#248E68
Candidatus Nitrosotenuis uzonensis,#43E9A0
Candidatus Nitrosothermus,#EB5581
Candidatus Nitrosothermus koennekii,#A312DE
Candidatus Nitrospira inopinata,#119E2A
Candidatus Nitrospira kreftii,#A5F449
Candidatus Nitrospira nitrificans,#F324B9
Candidatus Nitrospira nitrosa,#9558F8
Candidatus Nitrosymbiomonas,#DF7A5F
Candidatus Nitrosymbiomonas proteolyticus,#C3DB4D
Candidatus Nitrotoga,#14E01B
Candidatus Nitrotoga arctica,#DB7E69
Candidatus Nitrotoga fabula,#C69310
Candidatus Nitrotoga sp. 1052,#E3DD28
Candidatus Nitrotoga sp. AM1P,#D80737
Candidatus Nitrotoga sp. BS,#19C95C
Candidatus Nitrotoga sp. CP45,#368BF7
Candidatus Nitrotoga sp. HW29,#6A2EB0
Candidatus Nitrotoga sp. LAW,#0CA836
Candidatus Nitrotoga sp. M5,#B532C8
Candidatus Nitrotoga sp. MKT,#40A816
Candidatus Nitrotoga sp. SPKER,#39C8EA
Candidatus Niyogibacteria,#C2D75F
Candidatus Niyogibacteria bacterium,#C2960B
Candidatus Niyogibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_19,#80D872
Candidatus Niyogibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_46_36,#B016B4
Candidatus Niyogibacteria bacterium RIFCSPLOWO2_12_FULL_41_13,#78278D
Candidatus Nomurabacteria,#D55B92
Candidatus Nomurabacteria bacterium,#47CE8E
Candidatus Nomurabacteria bacterium CG1_02_43_90,#6E86D9
Candidatus Nomurabacteria bacterium GW2011_GWA1_46_11,#22A73E
Candidatus Nomurabacteria bacterium GW2011_GWA2_35_80,#25CA66
Candidatus Nomurabacteria bacterium GW2011_GWA2_40_9,#F755F4
Candidatus Nomurabacteria bacterium GW2011_GWA2_43_66,#7C9D28
Candidatus Nomurabacteria bacterium GW2011_GWB1_37_5,#E71E35
Candidatus Nomurabacteria bacterium GW2011_GWB1_40_7,#7634DF
Candidatus Nomurabacteria bacterium GW2011_GWB1_43_7,#B71C42
Candidatus Nomurabacteria bacterium GW2011_GWC2_35_35,#BCDE68
Candidatus Nomurabacteria bacterium GW2011_GWC2_35_8,#CB072A
Candidatus Nomurabacteria bacterium GW2011_GWC2_39_41,#40CBC8
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_38_19,#B33C27
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_9,#AB0FD8
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_20,#B327BC
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_24b,#1524A1
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_FULL_42_19,#99DD12
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_12_FULL_44_22b,#0ABD75
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_36_10b,#1DA390
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_39_17,#F2BA2E
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_40_15,#F50B3D
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_40_18,#6D98DD
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_42_17,#D03234
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_46_18,#BB0EF5
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_12_FULL_37_8,#8E4FD8
Candidatus Nomurabacteria bacterium RIFCSPLOWO2_12_FULL_46_14,#BB2306
Candidatus Norongarragalina,#14B012
Candidatus Norongarragalina meridionalis,#0D4DED
Candidatus Norongarragalinaceae,#29BB15
Candidatus Norongarragalinales,#AD9314
Candidatus Nucleicultrix,#3D9323
Candidatus Nucleicultrix amoebiphila,#2DC9E7
Candidatus Odinarchaeota,#31E360
Candidatus Odinarchaeota archaeon LCB_4,#06C8C0
Candidatus Odyssella,#B60793
Candidatus Odyssella thessalonicensis,#6FE7E6
Candidatus Omnitrophica,#70D666
Candidatus Omnitrophica bacterium,#DD09C9
Candidatus Omnitrophica bacterium 4484_171,#D9AE4E
Candidatus Omnitrophica bacterium 4484_213,#08CA31
Candidatus Omnitrophica bacterium 4484_49,#DBA92C
Candidatus Omnitrophica bacterium 4484_70.1,#65D754
Candidatus Omnitrophica bacterium 4484_70.2,#08E259
Candidatus Omnitrophica bacterium ADurb.Bin205,#D76E93
Candidatus Omnitrophica bacterium ADurb.Bin277,#EA2EC7
Candidatus Omnitrophica bacterium ADurb.Bin292,#E89B69
Candidatus Omnitrophica bacterium ADurb.Bin314,#31F295
Candidatus Omnitrophica bacterium CG02_land_8_20_14_3_00__42_8,#7ABEE1
Candidatus Omnitrophica bacterium CG03_land_8_20_14_0_80_43_22,#CA154F
Candidatus Omnitrophica bacterium CG07_land_8_20_14_0_80_42_15,#B61BD5
Candidatus Omnitrophica bacterium CG07_land_8_20_14_0_80_50_8,#ED1274
Candidatus Omnitrophica bacterium CG08_land_8_20_14_0_20_41_16,#79981B
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_41_12,#8B56E0
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_42_13,#2F3BD8
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_43_6,#8D9F14
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_45_26,#F260D6
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_63_9,#E83F5E
Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_64_10,#39EEB7
Candidatus Omnitrophica bacterium CG12_big_fil_rev_8_21_14_0_65_42_8,#19BC75
Candidatus Omnitrophica bacterium CG12_big_fil_rev_8_21_14_0_65_43_15,#1F28AB
Candidatus Omnitrophica bacterium CG12_big_fil_rev_8_21_14_0_65_45_16,#9652D1
Candidatus Omnitrophica bacterium CG12_big_fil_rev_8_21_14_0_65_50_5,#33F853
Candidatus Omnitrophica bacterium CG1_02_40_15,#CA265E
Candidatus Omnitrophica bacterium CG1_02_41_171,#F226DD
Candidatus Omnitrophica bacterium CG1_02_43_210,#3DF3DC
Candidatus Omnitrophica bacterium CG1_02_44_16,#24D3B5
Candidatus Omnitrophica bacterium CG1_02_46_14,#5D18C8
Candidatus Omnitrophica bacterium CG1_02_49_10,#55F399
Candidatus Omnitrophica bacterium CG1_02_49_16,#3CADD7
Candidatus Omnitrophica bacterium CG22_combo_CG10-13_8_21_14_all_43_16,#BC0C6F
Candidatus Omnitrophica bacterium CG23_combo_of_CG06-09_8_20_14_all_40_11,#7982DB
Candidatus Omnitrophica bacterium CG23_combo_of_CG06-09_8_20_14_all_41_10,#AE60F8
Candidatus Omnitrophica bacterium CG_4_10_14_0_2_um_filter_44_9,#1475B8
Candidatus Omnitrophica bacterium CG_4_10_14_0_8_um_filter_44_12,#B34618
Candidatus Omnitrophica bacterium CG_4_8_14_3_um_filter_43_15,#91A31E
Candidatus Omnitrophica bacterium CG_4_9_14_0_2_um_filter_42_8,#C9E448
Candidatus Omnitrophica bacterium CG_4_9_14_0_2_um_filter_43_12,#C8300F
Candidatus Omnitrophus,#72E856
Candidatus Omnitrophus magneticus,#0CB9D2
Candidatus Ordinivivax,#D54BEB
Candidatus Ordinivivax streblomastigis,#77DF41
Candidatus Ornithobacterium hominis,#842DA7
Candidatus Oscillochloris fontis,#57B60E
Candidatus Ozemobacter,#B09823
Candidatus Ozemobacter sibiricus,#64961D
Candidatus Ozemobacteraceae,#1E22AE
Candidatus Ozemobacteria,#E1F113
Candidatus Pacearchaeota archaeon,#DC6C13
Candidatus Pacearchaeota archaeon CG06_land_8_20_14_3_00_35_12,#1C9D78
Candidatus Pacearchaeota archaeon CG09_land_8_20_14_0_10_30_9,#DE7581
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_30_48,#7BDA96
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_24,#1EDB71
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_9,#32189F
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_14,#D86D91
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_42,#DDE85D
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12,#0BB612
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_76,#DD911D
Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_35_13,#A7DA4F
Candidatus Pacearchaeota archaeon CG1_02_31_27,#2454AA
Candidatus Pacearchaeota archaeon CG1_02_32_132,#3138B0
Candidatus Pacearchaeota archaeon CG1_02_32_21,#C931C8
Candidatus Pacearchaeota archaeon CG1_02_35_32,#7F942A
Candidatus Pacearchaeota archaeon CG1_02_39_14,#51E7C6
Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_05_32_18,#ECF337
Candidatus Pacearchaeota archaeon CG_4_10_14_0_8_um_filter_35_169,#31F1B2
Candidatus Pacearchaeota archaeon CG_4_9_14_0_2_um_filter_30_8,#E453AA
Candidatus Pacearchaeota archaeon CG_4_9_14_0_2_um_filter_39_13,#8E203B
Candidatus Pacearchaeota archaeon ex4484_26,#741CC0
Candidatus Pacearchaeota archaeon ex4484_31,#3523F8
Candidatus Pacearchaeota archaeon ex4484_71,#6ABEE0
Candidatus Pacearchaeota archaeon RBG_13_33_26,#1B4894
Candidatus Pacearchaeota archaeon RBG_13_36_9,#9923B4
Candidatus Pacearchaeota archaeon RBG_16_35_8,#07D765
Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9,#E4AC3F
Candidatus Pacebacteria,#DBC66D
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_40_26,#ADA208
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_12,#6410CA
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_44_11,#E24455
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_44_54,#B4DC0D
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_45_6,#46248A
Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_56_10,#0CF739
Candidatus Pacebacteria bacterium CG1_02_43_31,#969321
Candidatus Pacebacteria bacterium CG_4_10_14_0_8_um_filter_42_14,#139D47
Candidatus Pacebacteria bacterium CG_4_10_14_0_8_um_filter_43_12,#3DE33B
Candidatus Pacebacteria bacterium CG_4_10_14_3_um_filter_34_15,#4B3CE3
Candidatus Pacebacteria bacterium RIFCSPHIGHO2_01_FULL_46_16,#E3D31B
Candidatus Pandoraea novymonadis,#179BD4
Candidatus Pantoea carbekii,#5638CB
Candidatus Pantoea edessiphila,#52E56D
Candidatus Paraburkholderia calva,#5CD046
Candidatus Paraburkholderia kirkii,#DC5DD4
Candidatus Paracaedibacter,#3C53E2
Candidatus Paracaedibacter acanthamoebae,#E05612
Candidatus Paracaedibacter symbiosus,#16B7D2
Candidatus Paracaedibacteraceae,#62D8BC
Candidatus Paracaedibacteraceae bacterium 'Lake Konstanz',#57F95A
Candidatus Paracaedimonas,#9A351B
Candidatus Paracaedimonas acanthamoebae,#E46D64
Candidatus Parcubacteria,#BA62D8
Candidatus Parcubacteria bacterium,#2C3DF1
Candidatus Parcubacteria bacterium 4484_255,#4AE345
Candidatus Parcubacteria bacterium A4,#48E710
Candidatus Parilichlamydiaceae,#AA66E9
Candidatus Parvarchaeota,#381FA3
Candidatus Parvarchaeota archaeon,#66ACF3
Candidatus Parvarchaeum,#F2ED3A
Candidatus Parvarchaeum acidiphilum,#B51587
Candidatus Parvarchaeum acidophilus,#181F9B
Candidatus Pelagibacter,#5DF30F
Candidatus Pelagibacter giovannonii,#4CE43E
Candidatus Pelagibacter sp. HIMB1321,#7423C3
Candidatus Pelagibacter sp. IMCC9063,#CA5D2F
Candidatus Pelagibacter sp. RS39,#DC59E4
Candidatus Pelagibacter sp. TMED118,#16B27C
Candidatus Pelagibacter sp. TMED142,#21951B
Candidatus Pelagibacter sp. TMED153,#45E4F9
Candidatus Pelagibacter sp. TMED166,#5FB624
Candidatus Pelagibacter sp. TMED197,#BADE77
Candidatus Pelagibacter sp. TMED253,#643ACC
Candidatus Pelagibacter sp. TMED263,#0BBE23
Candidatus Pelagibacter sp. TMED273,#CBF82A
Candidatus Pelagibacter sp. TMED64,#E42EB9
Candidatus Pelagibacter ubique,#E4192C
Candidatus Peregrinibacteria,#D7A214
Candidatus Peregrinibacteria bacterium,#B07728
Candidatus Peregrinibacteria bacterium CG08_land_8_20_14_0_20_41_10,#28B1E9
Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_36_19,#8716DC
Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_42_8,#19179A
Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_49_10,#256296
Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_54_7,#4719DE
Candidatus Peregrinibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_55_24,#E39564
Candidatus Peregrinibacteria bacterium CG11_big_fil_rev_8_21_14_0_20_46_8,#9FA324
Candidatus Peregrinibacteria bacterium CG1_02_54_53,#57CE2C
Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_43_11,#3E25B0
Candidatus Peregrinibacteria bacterium CG_4_9_14_0_2_um_filter_53_11,#8D18B7
Candidatus Peregrinibacteria bacterium Gr01-1014_25,#F8F630
Candidatus Peregrinibacteria bacterium Greene0416_19,#192FD5
Candidatus Peregrinibacteria bacterium Greene0416_62,#C0ED43
Candidatus Peregrinibacteria bacterium Greene1014_49,#1C994E
Candidatus Peregrinibacteria bacterium GW2011_GWA2_44_7,#382CA9
Candidatus Peregrinibacteria bacterium GW2011_GWA2_47_7,#903922
Candidatus Peregrinibacteria bacterium GW2011_GWC2_33_13,#C41356
Candidatus Peregrinibacteria bacterium GW2011_GWC2_39_14,#3162AD
Candidatus Peregrinibacteria bacterium GW2011_GWF2_38_29,#77D9A7
