taxon,hex_colour
Acholeplasmataceae,#28AB23
Acholeplasmataceae bacterium,#27E1AA
Acholeplasmatales,#43E333
Acholeplasmatales bacterium,#62D7A1
Achromatium,#22F7F6
Achromatium sp. WMS1,#8DF118
Achromatium sp. WMS2,#5F08AF
Achromatium sp. WMS3,#EB816C
Achromobacter,#3937F4
Achromobacter aegrifaciens,#D02A70
Achromobacter aestuarii,#A12DA5
Achromobacter agilis,#1417BF
Achromobacter aloeverae,#4A9FD5
Achromobacter animicus,#2E16CE
Achromobacter anxifer,#3BC6D9
Achromobacter arsenitoxydans,#F138D5
Achromobacter deleyi,#3493CA
Achromobacter denitrificans,#AD7B0E
Achromobacter insolitus,#AF0D98
Achromobacter insuavis,#661D91
Achromobacter kerstersii,#CE1BD8
Achromobacter marplatensis,#169CA2
Achromobacter mucicolens,#B84E0A
Achromobacter pestifer,#18D0CA
Achromobacter piechaudii,#E62A6C
Achromobacter pulmonis,#C2531E
Achromobacter ruhlandii,#A05415
Achromobacter sp. 2789STDY5608633,#85DD6B
Achromobacter sp. ACM02,#2E50B3
Achromobacter sp. ACM05,#4FC7E2
Achromobacter sp. AONIH1,#59D039
Achromobacter sp. ASV32,#D45830
Achromobacter sp. Bel,#A64A1B
Achromobacter sp. DMS1,#2A9A43
Achromobacter sp. GG226,#63B1D9
Achromobacter sp. JA81,#B210D9
Achromobacter sp. LC458,#5E79D3
Achromobacter sp. Marseille-Q0513,#DB2A2A
Achromobacter sp. MYb9,#2F7DA7
Achromobacter sp. Root565,#EEC248
Achromobacter sp. Root83,#AE2E3C
Achromobacter sp. RTa,#ECA642
Achromobacter sp. SD115,#EDDA6A
Achromobacter sp. UMC46,#D4595D
Achromobacter sp. UMC71,#9D45D1
Achromobacter spanius,#CB5941
Achromobacter veterisilvae,#B6E069
Achromobacter xylosoxidans,#BD0B47
Acidaminobacter,#F7B218
Acidaminobacter hydrogenoformans,#07B692
Acidaminobacter sp. JC074,#1E09B6
Acidaminococcaceae,#4ADB29
Acidaminococcales,#CA2846
Acidaminococcus,#6D9C1A
Acidaminococcus fermentans,#DAC93E
Acidaminococcus sp. CAG:917,#34C4CE
Acidaminococcus timonensis,#24DA42
Acidianus,#A8ED42
Acidianus brierleyi,#C78519
Acidianus hospitalis,#6CEAA7
Acidianus infernus,#66AAED
Acidianus manzaensis,#43F0F1
Acidianus sp. HS-5,#C51F0D
Acidianus sp. RZ1,#9E55D3
Acidianus sulfidivorans,#B5CD18
Acidibacillus,#E95A58
Acidibacillus ferrooxidans,#0DE15D
Acidibacillus sp. S0AB,#9B9F18
Acidibacillus sulfuroxidans,#F8A12F
Acidibrevibacterium,#24B7AC
Acidibrevibacterium fodinaquatile,#D96CE0
Acididesulfobacillus,#2EE527
Acididesulfobacillus acetoxydans,#8B5CD9
Acidiferrobacter,#A2DB27
Acidiferrobacter sp. SPIII_3,#AFF539
Acidiferrobacter thiooxydans,#527AF9
Acidiferrobacteraceae,#D5D654
Acidiferrobacterales,#9629B9
Acidihalobacter,#C1D95B
Acidihalobacter aeolianus,#38F8AF
Acidihalobacter ferrooxydans,#71DB6F
Acidihalobacter prosperus,#71952A
Acidihalobacter yilgarnensis,#C24E18
Acidilobaceae,#8D4C27
Acidilobales,#2E9929
Acidilobus,#54F6D9
Acidilobus saccharovorans,#B7213E
Acidilobus sp. 7A,#E69165
Acidilobus sp. SCGC AC-742_E15,#0EB460
Acidiluteibacter,#84AB17
