	Domain	Phylum	Class	Order	Family	Genus	Species
OTU25795	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	 Barnesiella intestinihominis
OTU25796	Eukaryota	Parabasalia	 NA	Trichomonadida	Trichomonadidae	Trichomonas	 Trichomonas vaginalis
OTU25797	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Bacillus	 Bacillus amyloliquefaciens
OTU25798	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	 Celeribacter halophilus
OTU25799	Eukaryota	Ascomycota	 Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	 Lachancea fermentati
OTU25800	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 Paenibacillus sp. TCA20
OTU25801	Bacteria	Pseudomonadota	 Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	 Gilliamella sp. Pas-s27
OTU25802	Bacteria	Pseudomonadota	 Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 Pseudomonas deceptionensis
OTU25803	Bacteria	Candidatus Shapirobacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Shapirobacteria bacterium CG06_land_8_20_14_3_00_40_12
OTU25804	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariivivens	 Aestuariivivens sp. AH-MY3
OTU25805	Bacteria	Bacillota	 Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	 Flavonifractor sp. An91
OTU25806	Bacteria	Thermotogae	 Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	 Pseudothermotoga lettingae
OTU25807	Bacteria	Pseudomonadota	 Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 Pseudomonas guariconensis
OTU25808	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	 Mesorhizobium sp. 113-3-3
OTU25809	Bacteria	candidate division CPR2	 NA	Unclassified	Unclassified	Unclassified	 candidate division CPR2 bacterium GW2011_GWC2_39_10
OTU25810	Bacteria	Cyanobacteriota	 NA	Chroococcales	Microcystaceae	Microcystis	 Microcystis sp. LEGE 00066
OTU25811	Eukaryota	Unclassified	 Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	 Cryptomonas paramecium
OTU25812	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	 Lutibacter citreus
OTU25813	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Kitasatospora	 Kitasatospora albolonga
OTU25814	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Chachezhania	 NA
OTU25815	Bacteria	Candidatus Saccharibacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_49_19
OTU25816	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Gemmobacter	 Gemmobacter tilapiae
OTU25817	Eukaryota	Ascomycota	 Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unclassified	 Phaeosphaeriaceae sp. PMI808
OTU25818	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 sulfur-oxidizing endosymbiont of Gigantopelta aegis
OTU25819	Bacteria	Bacillota	 Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	 Anaerococcus sp. Marseille-P3625
OTU25820	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Nocardiopsidaceae	Nocardiopsis	 Nocardiopsis baichengensis
OTU25821	Bacteria	Cyanobacteriota	 NA	Synechococcales	Synechococcaceae	Synechococcus	 Synechococcus sp. TMED155
OTU25822	Bacteria	Candidatus Terrybacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Terrybacteria bacterium RIFCSPHIGHO2_02_41_19
OTU25823	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	 Micromonospora sp. KC721
OTU25824	Bacteria	Verrucomicrobiota	 Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	 NA
OTU25825	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodospirillales	Kiloniellaceae	Kiloniella	 Kiloniella spongiae
OTU25826	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	 Polynucleobacter sp. MWH-Jannik1A5
OTU25827	Bacteria	Candidatus Falkowiibacteriota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Falkowbacteria bacterium CG1_02_37_44
OTU25828	Bacteria	Pseudomonadota	 Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	 Stenotrophomonas bentonitica
OTU25829	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 Prevotella saccharolytica
OTU25830	Archaea	Methanobacteriota	 Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	 Halapricum desulfuricans
OTU25831	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 uncultured archaeon GZfos33H6
OTU25832	Bacteria	Pseudomonadota	 Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 Pseudomonas sp. PDM16
OTU25833	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 uncultured bacterium contig00064
OTU25834	Bacteria	Bacteroidota	 Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	 Arcticibacter eurypsychrophilus
OTU25835	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Sinomonas	 Sinomonas sp. NEAU-HV1
OTU25836	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 Prevotella lacticifex
OTU25837	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 Paenibacillus campinasensis
OTU25838	Bacteria	Bacillota	 Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	 Loigolactobacillus backii
