	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Unknown	Unclassified		Unclassified	Unclassified	Unclassified	
OTU00002	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Phreatobacteraceae	Phreatobacter	 Phreatobacter cathodiphilus
OTU00003	Bacteria	Pseudomonadota	 Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	 Lysobacter segetis
OTU00004	Bacteria	Nitrospirota	 NA	Unclassified	Unclassified	Unclassified	 Nitrospirae bacterium
OTU00005	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Bathyarchaeota archaeon
OTU00006	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00007	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 NA
OTU00008	Bacteria	Actinomycetota	 Actinomycetia	Frankiales	Frankiaceae	Frankia	 NA
OTU00009	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	 Xenophilus sp. E41
OTU00010	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	 Labilithrix luteola
OTU00011	Bacteria	Chloroflexota	 Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	 Anaerolineaceae bacterium
OTU00012	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Unclassified	 Thaumarchaeota archaeon
OTU00013	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea sp. TS
OTU00014	Archaea	Nitrososphaerota	 NA	Nitrosopumilales	Unclassified	Unclassified	 Nitrosopumilales archaeon
OTU00015	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 uncultured archaeon
OTU00016	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea bavarica
OTU00017	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon 13_2_20CM_2_52_21
OTU00018	Bacteria	Synergistota	 NA	Unclassified	Unclassified	Unclassified	 Synergistetes bacterium ADurb.BinA166
OTU00019	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon 13_1_20CM_2_51_12
OTU00020	Bacteria	Pseudomonadota	 Deltaproteobacteria	Desulfurellales	Unclassified	Unclassified	 Desulfurellales bacterium
OTU00021	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00022	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Acidobacteria bacterium
OTU00023	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00024	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon
OTU00025	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	 Saccharothrix sp. NRRL B-16314
OTU00026	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 NA
OTU00027	Bacteria	Actinomycetota	 Actinomycetia	Unclassified	Unclassified	Unclassified	 NA
OTU00028	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides rotundus
OTU00029	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella qitaiheensis
OTU00030	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces albus
OTU00031	Bacteria	Planctomycetota	 Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	 NA
OTU00032	Archaea	Methanobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Euryarchaeota archaeon
OTU00033	Eukaryota	Foraminifera	 NA	Unclassified	Reticulomyxidae	Reticulomyxa	 Reticulomyxa filosa
OTU00034	Archaea	Methanobacteriota	 Hadesarchaea	Unclassified	Unclassified	Unclassified	 Hadesarchaea archaeon YNP_N21
OTU00035	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Archangiaceae	Hyalangium	 Hyalangium sp. H56D21
OTU00036	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 miscellaneous Crenarchaeota group archaeon SMTZ-80
OTU00037	Archaea	Microcaldota	 NA	Candidatus Fermentimicrarchaeales	Candidatus Fermentimicrarchaeaceae	Candidatus Fermentimicrarchaeum	 Candidatus Fermentimicrarchaeum limneticum
OTU00038	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter	 Cystobacter fuscus
OTU00039	Bacteria	Pseudomonadota	 Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	 Georgfuchsia toluolica
OTU00040	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 bacterium
OTU00041	Bacteria	Pseudomonadota	 Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	 Sphingobium fluviale
OTU00042	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00043	Bacteria	Acidobacteriota	 Acidobacteriia	Terriglobales	Acidobacteriaceae	Candidatus Koribacter	 Candidatus Koribacter versatilis
OTU00044	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	 NA
OTU00045	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides islandensis
OTU00046	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Treboniaceae	Trebonia	 Trebonia kvetii
OTU00047	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	 NA
OTU00048	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 Mycobacterium sp. ITM-2016-00318
OTU00049	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Microbacteriaceae	Unclassified	 NA
OTU00050	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Unclassified	Unclassified	 Pseudonocardiales bacterium
OTU00051	Bacteria	Actinomycetota	 Actinomycetia	Cryptosporangiales	Cryptosporangiaceae	Cryptosporangium	 Cryptosporangium aurantiacum
OTU00052	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Hamadaea	 Hamadaea tsunoensis
OTU00053	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Unclassified	 NA
OTU00054	Archaea	Thermoproteota	 NA	Unclassified	Unclassified	Unclassified	 Crenarchaeota archaeon 13_1_20CM_2_51_8
OTU00055	Bacteria	Deinococcota	 Deinococci	Trueperales	Trueperaceae	Unclassified	 Trueperaceae bacterium
OTU00056	Bacteria	Bacillota	 Clostridia	Eubacteriales	Peptostreptococcaceae	Tepidibacter	 NA
OTU00057	Bacteria	Pseudomonadota	 Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromusa	 Desulfuromusa kysingii
OTU00058	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	 Arthrobacter castelli
OTU00059	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces zhaozhouensis
OTU00060	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Thermocrispum	 Thermocrispum agreste
OTU00061	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	 Nonomuraea indica
OTU00062	Bacteria	Bacillota	 Tissierellia	Tissierellales	Tissierellaceae	Tepidimicrobium	 Tepidimicrobium xylanilyticum
OTU00063	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	 NA
OTU00064	Bacteria	Pseudomonadota	 Deltaproteobacteria	Unclassified	Unclassified	Unclassified	 Deltaproteobacteria bacterium
OTU00065	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Alloactinosynnema	 Alloactinosynnema sp. L-07
OTU00066	Bacteria	Chloroflexota	 NA	Unclassified	Unclassified	Unclassified	 Chloroflexi bacterium
OTU00067	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Unclassified	 NA
OTU00068	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	 Actinoplanes cyaneus
OTU00069	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Microbispora	 NA
OTU00070	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella soli
OTU00071	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	 Rhodospirillaceae bacterium BRH_c57
OTU00072	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Jhaorihella	 Jhaorihella thermophila
OTU00073	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	 NA
OTU00074	Bacteria	Actinomycetota	 NA	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium
OTU00075	Bacteria	Actinomycetota	 Actinomycetia	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium 69-20
OTU00076	Bacteria	Actinomycetota	 Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	 Blastococcus sp. DSM 44270
OTU00077	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 Paenibacillus favisporus
OTU00078	Bacteria	Verrucomicrobiota	 NA	Unclassified	Unclassified	Unclassified	 Verrucomicrobia bacterium
OTU00079	Archaea	Thermoproteota	 NA	Unclassified	Unclassified	Unclassified	 Crenarchaeota archaeon 13_1_40CM_3_52_17
OTU00080	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 candidate division TA06 bacterium DG_26
OTU00081	Bacteria	Bacteroidota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00082	Archaea	Thermoproteota	 Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	 Caldisphaera sp.
OTU00083	Archaea	Thermoplasmatota	 Thermoplasmata	Unclassified	Unclassified	Unclassified	 Thermoplasmata archaeon
OTU00084	Bacteria	Acidobacteriota	 Acidobacteriia	Terriglobales	Acidobacteriaceae	Candidatus Sulfotelmatobacter	 Candidatus Sulfotelmatobacter kueseliae
OTU00085	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00086	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea sinensis
OTU00087	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 NA
OTU00088	Bacteria	Actinomycetota	 Actinomycetia	Catenulisporales	Catenulisporaceae	Catenulispora	 Catenulispora pinistramenti
OTU00089	Bacteria	Actinomycetota	 Actinomycetia	Sporichthyales	Sporichthyaceae	Sporichthya	 Sporichthya polymorpha
OTU00090	Bacteria	Actinomycetota	 Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	 Arcanobacterium urinimassiliense
OTU00091	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Cellulomonadaceae	Cellulomonas	 Cellulomonas citrea
OTU00092	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Nocardiopsidaceae	Nocardiopsis	 Nocardiopsis salina
OTU00093	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Microtetraspora	 NA
OTU00094	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	 Actinophytocola oryzae
OTU00095	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	 Amycolatopsis sp. CA-230715
OTU00096	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	 Actinoplanes sp. ATCC 53533
OTU00097	Bacteria	Candidatus Riflebacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Riflebacteria bacterium HGW-Riflebacteria-2
OTU00098	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	 Amycolatopsis rhizosphaerae
OTU00099	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. HPF1205
OTU00100	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	 Pseudonocardia sp. HH130630-07
OTU00101	Bacteria	Actinomycetota	 NA	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium 13_1_20CM_3_71_11
OTU00102	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Nocardiaceae	Rhodococcus	 Rhodococcus sp. ARC_M6
OTU00103	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Nocardiaceae	Nocardia	 Nocardia sp. XZ_19_369
OTU00104	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Sinosporangium	 Sinosporangium siamense
OTU00105	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Virgisporangium	 Virgisporangium aliadipatigenens
OTU00106	Bacteria	Actinomycetota	 NA	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium RBG_16_68_12
OTU00107	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Mangrovihabitans	 Mangrovihabitans endophyticus
OTU00108	Bacteria	Actinomycetota	 Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	 Ferrithrix thermotolerans
OTU00109	Archaea	Methanobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Euryarchaeota archaeon RBG_19FT_COMBO_69_17
OTU00110	Archaea	Methanobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Euryarchaeota archaeon RBG_16_67_27
OTU00111	Bacteria	Pseudomonadota	 Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	 NA
OTU00112	Archaea	Thermoproteota	 NA	Unclassified	Unclassified	Unclassified	 Crenarchaeota archaeon 13_1_40CM_3_52_10
OTU00113	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Unclassified	 Hyphomicrobiaceae bacterium TMED74
OTU00114	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	 Actinomycetospora endophytica
OTU00115	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	 Actinomadura rubrobrunea
OTU00116	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Spongiactinospora	 Spongiactinospora gelatinilytica
OTU00117	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Thermocatellispora	 Thermocatellispora tengchongensis
OTU00118	Bacteria	Actinomycetota	 Actinomycetia	Catenulisporales	Actinospicaceae	Actinocrinis	 Actinocrinis puniceicyclus
OTU00119	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. SoC090715LN-16
OTU00120	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	 Streptacidiphilus pinicola
OTU00121	Bacteria	Bacillota	 Bacilli	Caryophanales	Alicyclobacillaceae	Unclassified	 Alicyclobacillaceae bacterium I2511
OTU00122	Bacteria	Candidatus Rokubacteria	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00123	Archaea	Thermoproteota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00124	Archaea	Thermoproteota	 Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	 Hyperthermus butylicus
OTU00125	Bacteria	Actinomycetota	 NA	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium 13_1_40CM_4_65_12
OTU00126	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Rubeoparvulum	 Rubeoparvulum massiliense
OTU00127	Archaea	Thermoproteota	 Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	 Sulfolobus sp. SCGC AB-777_L09
OTU00128	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	 Nonomuraea fuscirosea
OTU00129	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	 Amycolatopsis taiwanensis
OTU00130	Archaea	Nitrososphaerota	 Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	 Nitrososphaera sp. AFS
OTU00131	Bacteria	Actinomycetota	 Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	 Blastococcus sp. DSM 46786
OTU00132	Bacteria	Actinomycetota	 Actinomycetia	Unclassified	Unclassified	Halopolyspora	 Halopolyspora algeriensis
OTU00133	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Unclassified	 NA
OTU00134	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	 Actinomadura fibrosa
OTU00135	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Kitasatospora	 Kitasatospora acidiphila
OTU00136	Bacteria	Candidatus Rokubacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Rokubacteria bacterium
OTU00137	Bacteria	Pseudomonadota	 Deltaproteobacteria	Desulfobacterales	Unclassified	Unclassified	 Desulfobacterales bacterium
OTU00138	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Catellatospora	 Catellatospora sp. TT07R-123
OTU00139	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	 NA
OTU00140	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	 Streptacidiphilus albus
OTU00141	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	 Actinoplanes sp. OR16
OTU00142	Bacteria	Actinomycetota	 Actinomycetia	Geodermatophilales	Geodermatophilaceae	Modestobacter	 Modestobacter sp. Leaf380
OTU00143	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	 Nonomuraea cavernae
OTU00144	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Gordoniaceae	Skermania	 Skermania sp. ID1734
OTU00145	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Planotetraspora	 Planotetraspora kaengkrachanensis
OTU00146	Bacteria	Gemmatimonadota	 NA	Unclassified	Unclassified	Unclassified	 Gemmatimonadetes bacterium
OTU00147	Bacteria	Pseudomonadota	 Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Unclassified	 NA
OTU00148	Bacteria	Pseudomonadota	 Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	 NA
OTU00149	Bacteria	Actinomycetota	 Actinomycetia	Catenulisporales	Actinospicaceae	Actinospica	 Actinospica sp. MGRD01-02
OTU00150	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Actinocrispum	 Actinocrispum wychmicini
OTU00151	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea sp. FS
OTU00152	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides panaciterrulae
OTU00153	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	 Saccharopolyspora sp. K220
OTU00154	Archaea	Methanobacteriota	 Methanomicrobia	Methanosarcinales	Unclassified	Unclassified	 Methanosarcinales archaeon
OTU00155	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	 Burkholderiales bacterium
OTU00156	Bacteria	Actinomycetota	 Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	 Blastococcus sp. CT_GayMR19
OTU00157	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Cellulomonadaceae	Pseudactinotalea	 NA
OTU00158	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	 NA
OTU00159	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Ruaniaceae	Unclassified	 NA
OTU00160	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	 Actinomadura alba
OTU00161	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella sp. VKM Ac-2527
OTU00162	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Gordoniaceae	Millisia	 Millisia brevis
OTU00163	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces marincola
OTU00164	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Thermomonospora	 Thermomonospora echinospora
OTU00165	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	 Microlunatus flavus
OTU00166	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Intrasporangiaceae	Ornithinicoccus	 Ornithinicoccus soli
OTU00167	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 Mycobacterium sp. MAG1
OTU00168	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. CB02959
OTU00169	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Microbispora	 Microbispora oryzae
OTU00170	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. CB01881
OTU00171	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	 Micromonospora sp. Llam0
OTU00172	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides anomalus
OTU00173	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	 Mycolicibacterium stellerae
OTU00174	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	 NA
OTU00175	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Acidobacteria bacterium 13_2_20CM_57_17
OTU00176	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Unclassified	 Thaumarchaeota archaeon 13_1_20CM_2_39_20
OTU00177	Archaea	Nitrososphaerota	 NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	 Nitrosarchaeum sp.
OTU00178	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	 Actinoplanes sp. L3-i22
OTU00179	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Nocardiaceae	Rhodococcus	 Rhodococcus trifolii
OTU00180	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces purpurogeneiscleroticus
OTU00181	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Unclassified	 NA
OTU00182	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	 Nonomuraea antri
OTU00183	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. NRRL S-340
OTU00184	Bacteria	Pseudomonadota	 Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	 Mariprofundus sp. EBB-1
OTU00185	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	 Arthrobacter sp. ov118
OTU00186	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	 Arthrobacter sp. Hiyo6
OTU00187	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Intrasporangiaceae	Nostocoides	 Tetrasphaera australiensis
OTU00188	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	 Actinoallomurus bryophytorum
OTU00189	Bacteria	Actinomycetota	 Actinomycetia	Kineosporiales	Kineosporiaceae	Angustibacter	 Angustibacter sp. Root456
OTU00190	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Nocardiaceae	Nocardia	 Nocardia higoensis
OTU00191	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Candidatus Nitrosotenuis	 Candidatus Nitrosotenuis sp. DW1
OTU00192	Bacteria	Actinomycetota	 Actinomycetia	Kineosporiales	Kineosporiaceae	Quadrisphaera	 Quadrisphaera sp. DSM 44207
OTU00193	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Streptosporangiaceae	Acrocarpospora	 Acrocarpospora sp. H8750
OTU00194	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Nocardiopsidaceae	Nocardiopsis	 NA
OTU00195	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella jejuensis
OTU00196	Bacteria	Actinomycetota	 Actinomycetia	Geodermatophilales	Geodermatophilaceae	Blastococcus	 Blastococcus sp. CT_GayMR20
OTU00197	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Actinoplanes	 Actinoplanes globisporus
OTU00198	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. TN58
OTU00199	Bacteria	Actinomycetota	 Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	 Micromonospora radicis
OTU00200	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces lunaelactis
OTU00201	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella shirazensis
OTU00202	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	 Streptacidiphilus rugosus
OTU00203	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon RBG_16_50_20
OTU00204	Archaea	Candidatus Heimdallarchaeota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Heimdallarchaeota archaeon LC_2
OTU00205	Bacteria	Actinomycetota	 Actinomycetia	Catenulisporales	Actinospicaceae	Actinospica	 Actinospica robiniae
OTU00206	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Acidobacteria bacterium 13_1_20CM_58_21
OTU00207	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Acidobacteria bacterium 13_1_40CM_4_58_4
OTU00208	Bacteria	Ignavibacteriota	 Ignavibacteria	Unclassified	Unclassified	Unclassified	 Ignavibacteria bacterium 13_1_40CM_2_61_4
OTU00209	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces marianii
