KO,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Control: Burr Oak Reservoir BO4,Metagenomics,25.6,0.5,4.148391839892671,2,0.5
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Ferruginous lake/sediment group: Lake Matano,Metagenomics,25.6,73.66666666666667,-1.489038080722621,6,0.8333333333333334
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Ferruginous lake/sediment group: Lake Superior,Combined assembly,25.6,125.0,-2.243925582886089,1,1.0
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,25.6,0.0,4.733354340613827,1,0.0
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,25.6,58.54545454545455,-1.162565137173688,11,0.8181818181818182
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,25.6,0.0,4.733354340613827,21,0.0
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,25.6,0.0,4.733354340613827,4,0.0
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,25.6,5.111111111111111,2.12191962853148,9,0.2222222222222222
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),Other iron-rich / unassigned,Metagenomics,25.6,13.0,0.9259994185562233,1,1.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,6.6,0.75,2.118644496498619,4,0.5
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,6.6,0.0,2.925999418556223,7,0.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Control: Burr Oak Reservoir BO4,Metagenomics,6.6,0.0,2.925999418556223,2,0.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Ferruginous lake/sediment group: Lake Matano,Metagenomics,6.6,29.83333333333333,-2.020419541238933,6,0.8333333333333334
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Ferruginous lake/sediment group: Lake Superior,Combined assembly,6.6,16.0,-1.161463422694116,1,1.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,6.6,1.0,1.925999418556223,1,1.0
K07307: dmsB,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit B (dmsB),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,6.6,62.0,-3.051280504943693,11,0.9090909090909091
