	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU00061	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU00062	1	0	1	1	0	1	0	1	0	1	0	0	2	0	2	0	0	0	1	0
OTU00063	132	38	17	2	3	7	6	5	11	7	0	8	5	6	16	10	0	2	6	4
OTU00064	3553	4058	4435	1365	1788	3346	3323	1798	4290	2187	1386	5247	6063	2149	7335	5745	379	2214	2253	1555
OTU00065	7	1	2	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0
OTU00066	6475	4512	2831	1777	1153	3235	3446	1380	2199	1459	1454	2734	3232	2024	2868	2576	159	1227	1873	2011
OTU00067	27	11	4	1	3	7	4	2	7	2	2	5	4	2	8	10	0	1	0	0
OTU00068	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00069	47	16	2	0	2	2	2	2	3	2	1	0	4	0	5	3	0	2	0	1
OTU00070	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0
OTU00071	6	5	1	0	1	0	1	0	4	0	2	1	1	0	4	4	0	1	1	2
OTU00072	5	1	0	0	1	1	0	0	1	0	0	1	1	2	0	1	0	3	1	1
OTU00073	54	22	8	2	3	6	11	2	12	1	1	5	8	4	13	8	0	2	3	2
OTU00074	1464	740	321	86	168	257	293	171	445	145	122	310	415	186	574	337	17	123	143	146
OTU00075	9	2	0	0	0	0	2	0	2	1	0	0	2	0	1	1	0	0	0	1
OTU00076	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00077	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00078	1597	1563	1182	316	668	1548	1733	863	2756	668	309	1063	1519	757	1996	1501	45	511	576	533
OTU00079	4	1	0	1	0	0	1	0	0	0	0	1	1	0	0	2	0	0	1	1
OTU00080	4	6	9	12	2	9	11	5	3	4	4	16	12	12	7	6	0	6	4	2
OTU00081	85	87	239	34	53	338	240	52	301	59	37	174	197	67	179	162	3	49	52	90
OTU00082	2	3	1	2	0	2	1	0	0	1	1	5	1	2	0	0	0	0	3	1
OTU00083	46	199	585	233	262	1117	669	466	343	552	216	1117	1092	539	320	421	33	238	258	208
OTU00084	1416	2301	401	17	31	64	52	27	190	50	12	42	47	29	176	113	8	89	63	44
OTU00085	962	425	26	39	6	33	22	12	10	16	31	39	20	38	19	18	4	37	20	10
OTU00086	208	128	2	2	0	1	1	0	0	0	2	3	2	2	8	3	1	2	2	0
