MAG_ID,lake_season_group,abundance,taxonomy_label,display_label
MAG.6,TI-D,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.6,TI-R,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.6,TIA-D,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.6,TIA-R,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.6,VI-D,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.6,VI-R,0.0,Candidatus Bathyarchaeota archaeon 40CM-2-53-6,MAG.6 — Candidatus Bathyarchaeota archaeon 40CM-2-53-6
MAG.7,AM-D,0.09336900000000001,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,AM-R,0.1302845,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,TI-D,0.0123795,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,TI-R,0.03364375,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,TIA-D,0.3443425,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,TIA-R,0.4571805,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,VI-D,0.323875,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.7,VI-R,0.48002500000000003,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9,MAG.7 — Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9
MAG.8,AM-D,0.326911,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,AM-R,0.0478575,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,TI-D,0.00201725,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,TI-R,0.000848,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,TIA-D,0.0,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,TIA-R,0.0,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,VI-D,0.0,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.8,VI-R,0.001897,Trebonia kvetii,MAG.8 — Trebonia kvetii
MAG.9,AM-D,0.01489199999999995,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,AM-R,0.12860349999999995,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,TI-D,0.11705974999999999,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,TI-R,0.06596375,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,TIA-D,0.05072175,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,TIA-R,0.0491325,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,VI-D,0.0,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.9,VI-R,0.007799,Anaeromyxobacter sp. Red267,MAG.9 — Anaeromyxobacter sp. Red267
MAG.10,AM-D,0.030685,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,AM-R,0.068497,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,TI-D,0.0,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,TI-R,0.0033825,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,TIA-D,0.0346135,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,TIA-R,0.0729615,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,VI-D,0.18813,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.10,VI-R,0.410289,Candidatus Bathyarchaeota archaeon B26-1,MAG.10 — Candidatus Bathyarchaeota archaeon B26-1
MAG.11,AM-D,0.01115,Nitrososphaeria archeon EX4484-205,MAG.11 — Nitrososphaeria archeon EX4484-205
MAG.11,AM-R,0.035006999999999996,Nitrososphaeria archeon EX4484-205,MAG.11 — Nitrososphaeria archeon EX4484-205
