,AM.P1,AM.P2,TIA.P1,TIA.P2,TI.P1,TI.P2,TI.P3,TI.P4,VI.P1,VI.P2
LOI,-0.6493052181715122,-0.42485796207398047,-0.23831602715249461,-0.17414560153950331,2.7229750090811207,0.4287579321267391,0.29146306802452526,-0.24577770454935405,-0.627815587268557,-1.0829779084769826
Fe2O3,0.6835164834835249,0.05384149395584804,-0.2072125726315502,0.18327979388565158,-2.691702109041184,-0.042088012440726,0.05045432349039522,0.13283514802515797,0.4191720227296863,1.4179034285432
SiO2,0.25977269198084885,1.643146347389483,0.6235841382972045,-0.6372002803297069,-0.9493055537139236,-1.3463056593831078,-1.0921706436433187,1.0612458464847547,1.0277274984628606,-0.5904943855450969
Al2O3,0.21164432745912976,0.4597428137775298,1.8381829823275015,0.9078136586335026,-1.9673075958589896,-0.8834325197606295,-0.7807496178144693,-0.30571154618475727,0.4210206419998526,0.09879685542132911
TOT/C,-0.5418579606766023,-0.27745229743695343,-0.37209815876269636,-0.32280194441031945,2.6854869791836387,0.5092062148557801,0.3318977058823831,-0.21000187314112523,-0.6393884039775496,-1.1629902615165513
TOT/S,-0.3736625462697245,0.9260332668423633,-0.6521687919366012,0.740362436397781,2.2257290799544545,0.04409682223059009,-0.5593333767143099,-1.209181283270354,-0.0023208853805570476,-1.1395547218536377
Cu,-0.4307384004208262,-0.14292065652047573,0.33034188910966233,-0.04718728676821216,-1.7981815012692761,-0.09582601494879746,-0.09042171181762067,0.09178050803345958,2.512908310800362,-0.32975513619827806
Pb,-0.10961961777953601,-0.10240949492816824,0.9881215863411192,0.7370548084810116,-1.6474358202211394,-0.9586115835280231,-0.8697725698236775,-0.6689191475355911,1.5971194628940988,1.0344723760999084
V,-0.2504229152335657,-0.12033308913820656,1.7845536501152641,1.1248123892030855,-1.662826741411749,-0.8776417196219036,-0.7057373065673224,-0.4176812630704558,1.1248123892030855,0.00046460652176950895
