,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Anaeromyxobacter,0.0,1.0349071788037025,0.0,2.4517767753321404,1.0668056989883392,4.7512344087727305,2.0113031914893615,3.189493433395872,4.741554410880551,2.0383783988774695,0.0,4.371336898395722,4.920006213109661,0.0,6.566024499487345,5.31525289517965,0.0,0.0,0.0,0.0
Candidatus Sulfotelmatobacter,1.0717944676491449,1.9358080797046036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradyrhizobium,1.2237821285027528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0464568336556117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mycobacterium,0.0,0.0,0.0,1.7978046990326493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unclassified,74.86743298469992,76.95820315060412,86.09726006271526,78.92115224436948,84.48519606565267,78.10981776358841,81.16786608260325,81.00088065244859,66.77987033034888,82.31635632750579,85.98697328193539,78.66695187165776,77.34001242621932,85.41978175802501,72.86371485618693,76.76927645253885,87.16491661519457,85.9613310098747,86.13809121621621,84.83420059177635
Other taxa (<1%),22.836990419148872,20.071081590887385,13.902739937284952,16.829266281266232,14.44799823535856,17.138947827638425,16.820830725907836,15.809625914155125,27.43211842511572,15.645265273617488,14.01302671806421,16.961711229945887,17.73998136067162,14.580218241974654,20.570260644324996,17.915470652281062,12.835083384805335,14.038668990124538,13.86190878378334,15.165799408223927
