SampleMM,LOI,SiO2,Al2O3,TOT/S,Cu,Pb
AM.P1,-0.6493052181715122,0.25977269198084885,0.21164432745912976,-0.3736625462697245,-0.4307384004208262,-0.10961961777953601
AM.P2,-0.42485796207398047,1.643146347389483,0.4597428137775298,0.9260332668423633,-0.14292065652047573,-0.10240949492816824
TIA.P1,-0.23831602715249461,0.6235841382972045,1.8381829823275015,-0.6521687919366012,0.33034188910966233,0.9881215863411192
TIA.P2,-0.17414560153950331,-0.6372002803297069,0.9078136586335026,0.740362436397781,-0.04718728676821216,0.7370548084810116
TI.P1,2.7229750090811207,-0.9493055537139236,-1.9673075958589896,2.2257290799544545,-1.7981815012692761,-1.6474358202211394
TI.P2,0.4287579321267391,-1.3463056593831078,-0.8834325197606295,0.04409682223059009,-0.09582601494879746,-0.9586115835280231
TI.P3,0.29146306802452526,-1.0921706436433187,-0.7807496178144693,-0.5593333767143099,-0.09042171181762067,-0.8697725698236775
TI.P4,-0.24577770454935405,1.0612458464847547,-0.30571154618475727,-1.209181283270354,0.09178050803345958,-0.6689191475355911
VI.P1,-0.627815587268557,1.0277274984628606,0.4210206419998526,-0.0023208853805570476,2.512908310800362,1.5971194628940988
VI.P2,-1.0829779084769826,-0.5904943855450969,0.09879685542132911,-1.1395547218536377,-0.32975513619827806,1.0344723760999084
