	Domain	Phylum	Class	Order	Family	Genus	Species
OTU02706	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhodovibrionaceae	 Tistlia	 Tistlia consotensis
OTU02707	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas ogarae
OTU02708	Archaea	 Candidatus Micrarchaeota	 Candidatus Micrarchaeia	 Candidatus Micrarchaeales	 Candidatus Micrarchaeaceae	 Candidatus Micrarchaeum	 Candidatus Micrarchaeum sp. ARMAN-1
OTU02709	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Oceanospirillaceae	 Pontibacterium	 Pontibacterium sp. N1Y112
OTU02710	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Bordetella	 Bordetella genomosp. 5
OTU02711	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Achromobacter	 Achromobacter pestifer
OTU02712	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 NA	 Ideonella	 Ideonella sakaiensis
OTU02713	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Tropicimonas	 Tropicimonas sp. IMCC6043
OTU02714	Bacteria	 Candidatus Omnitrophica	 NA	 NA	 NA	 NA	 Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_67_20
OTU02715	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Kutzneria	 Kutzneria buriramensis
OTU02716	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Chelativorans	 Chelativorans sp. A52C2
OTU02717	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Xanthobacteraceae	 NA	 NA
OTU02718	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotenuis	 NA
OTU02719	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Pandoraea	 Pandoraea terrae
OTU02720	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Sinomonas	 Sinomonas notoginsengisoli
OTU02721	Bacteria	 Chloroflexi	 Anaerolineae	 Aggregatilineales	 Aggregatilineaceae	 Aggregatilinea	 Aggregatilinea lenta
OTU02722	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Gallionellaceae	 Ferriphaselus	 Ferriphaselus amnicola
OTU02723	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Ottowia	 Ottowia thiooxydans
OTU02724	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Heliobacteriaceae	 Heliorestis	 Heliorestis acidaminivorans
OTU02725	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium sp. J27
OTU02726	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Clostridiaceae	 Maledivibacter	 Maledivibacter halophilus
OTU02727	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Peptococcaceae	 Desulforamulus	 Desulforamulus ruminis
OTU02728	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Olsenella	 Olsenella profusa
OTU02729	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus saxobsidens
OTU02730	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Zoogloeaceae	 Thauera	 NA
OTU02731	Bacteria	 Proteobacteria	 Acidithiobacillia	 Acidithiobacillales	 NA	 NA	 Acidithiobacillales bacterium SM23_46
OTU02732	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Zoogloeaceae	 Cognatazoarcus	 Cognatazoarcus halotolerans
OTU02733	Bacteria	 Proteobacteria	 Alphaproteobacteria	 NA	 NA	 NA	 Alphaproteobacteria bacterium ADurb.Bin100
OTU02734	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Myxococcaceae	 Corallococcus	 Corallococcus carmarthensis
OTU02735	Viruses	 NA	 NA	 NA	 NA	 NA	 Los Azufres archaeal virus 1
OTU02736	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Ramlibacter	 Ramlibacter sp. AW1
OTU02737	Archaea	 Euryarchaeota	 Archaeoglobi	 Archaeoglobales	 Archaeoglobaceae	 Archaeoglobus	 Archaeoglobus neptunius
OTU02738	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Thermoactinomycetaceae	 Lihuaxuella	 Lihuaxuella thermophila
OTU02739	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Methylococcales	 Methylococcaceae	 Methylococcus	 Methylococcus capsulatus
OTU02740	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Roseobacteraceae	 Loktanella	 Loktanella sp. S4079
OTU02741	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Thioalkalivibrio	 Thioalkalivibrio denitrificans
OTU02742	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Bordetella	 Bordetella genomosp. 1
OTU02743	Bacteria	 Nitrospirae	 NA	 NA	 NA	 NA	 Nitrospirae bacterium RBG_16_43_11
OTU02744	Bacteria	 Chlamydiae	 Chlamydiia	 Parachlamydiales	 Parachlamydiaceae	 NA	 NA
OTU02745	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Sulfuricellaceae	 Sulfuriferula	 Sulfuriferula thiophila
OTU02746	Archaea	 Candidatus Thermoplasmatota	 Thermoplasmata	 Methanomassiliicoccales	 NA	 NA	 Methanomassiliicoccales archaeon PtaU1.Bin030
OTU02747	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Denitromonas	 Denitromonas sp. IR12
OTU02748	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Dankookia	 Dankookia rubra
