	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Unknown
OTU00002	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phreatobacteraceae	 Phreatobacter	 Phreatobacter cathodiphilus
OTU00003	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Lysobacter	 Lysobacter segetis
OTU00004	Bacteria	 Nitrospirae	 NA	 NA	 NA	 NA	 Nitrospirae bacterium
OTU00005	Archaea	 Candidatus Bathyarchaeota	 NA	 NA	 NA	 NA	 Candidatus Bathyarchaeota archaeon
OTU00006	Archaea	 NA	 NA	 NA	 NA	 NA	 NA
OTU00007	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 NA
OTU00008	Bacteria	 Actinobacteria	 Actinomycetia	 Frankiales	 Frankiaceae	 Frankia	 NA
OTU00009	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Xenophilus	 Xenophilus sp. E41
OTU00010	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Labilitrichaceae	 Labilithrix	 Labilithrix luteola
OTU00011	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 NA	 Anaerolineaceae bacterium
OTU00012	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 NA	 Thaumarchaeota archaeon
OTU00013	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea sp. TS
OTU00014	Archaea	 Thaumarchaeota	 NA	 Nitrosopumilales	 NA	 NA	 Nitrosopumilales archaeon
OTU00015	Archaea	 NA	 NA	 NA	 NA	 NA	 uncultured archaeon
OTU00016	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea bavarica
OTU00017	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon 13_2_20CM_2_52_21
OTU00018	Bacteria	 Synergistetes	 NA	 NA	 NA	 NA	 Synergistetes bacterium ADurb.BinA166
OTU00019	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon 13_1_20CM_2_51_12
OTU00020	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfurellales	 NA	 NA	 Desulfurellales bacterium
OTU00021	Bacteria	 NA	 NA	 NA	 NA	 NA	 NA
OTU00022	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 Acidobacteria bacterium
OTU00023	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 NA
OTU00024	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon
OTU00025	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharothrix	 Saccharothrix sp. NRRL B-16314
OTU00026	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 NA
OTU00027	Bacteria	 Actinobacteria	 Actinomycetia	 NA	 NA	 NA	 NA
OTU00028	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides rotundus
OTU00029	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella qitaiheensis
OTU00030	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces albus
OTU00031	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Planctopirus	 NA
OTU00032	Archaea	 Euryarchaeota	 NA	 NA	 NA	 NA	 Euryarchaeota archaeon
OTU00033	Eukaryota	 Foraminifera	 NA	 NA	 Reticulomyxidae	 Reticulomyxa	 Reticulomyxa filosa
OTU00034	Archaea	 Euryarchaeota	 Hadesarchaea	 NA	 NA	 NA	 Hadesarchaea archaeon YNP_N21
OTU00035	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Archangiaceae	 Hyalangium	 Hyalangium sp. H56D21
OTU00036	Archaea	 Candidatus Bathyarchaeota	 NA	 NA	 NA	 NA	 miscellaneous Crenarchaeota group archaeon SMTZ-80
OTU00037	Archaea	 Candidatus Micrarchaeota	 NA	 Candidatus Fermentimicrarchaeales	 Candidatus Fermentimicrarchaeaceae	 Candidatus Fermentimicrarchaeum	 Candidatus Fermentimicrarchaeum limneticum
OTU00038	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Archangiaceae	 Cystobacter	 Cystobacter fuscus
OTU00039	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Sterolibacteriaceae	 Georgfuchsia	 Georgfuchsia toluolica
OTU00040	Bacteria	 NA	 NA	 NA	 NA	 NA	 bacterium
OTU00041	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 Sphingobium fluviale
OTU00042	Archaea	 Candidatus Bathyarchaeota	 NA	 NA	 NA	 NA	 NA
OTU00043	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 Candidatus Koribacter	 Candidatus Koribacter versatilis
OTU00044	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Salegentibacter	 NA
OTU00045	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides islandensis
OTU00046	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Treboniaceae	 Trebonia	 Trebonia kvetii
OTU00047	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Actinopolymorphaceae	 Actinopolymorpha	 NA
OTU00048	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium sp. ITM-2016-00318
OTU00049	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Microbacteriaceae	 NA	 NA
OTU00050	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 NA	 NA	 Pseudonocardiales bacterium
OTU00051	Bacteria	 Actinobacteria	 Actinomycetia	 Cryptosporangiales	 Cryptosporangiaceae	 Cryptosporangium	 Cryptosporangium aurantiacum
OTU00052	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Hamadaea	 Hamadaea tsunoensis
OTU00053	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 NA	 NA
OTU00054	Archaea	 Crenarchaeota	 NA	 NA	 NA	 NA	 Crenarchaeota archaeon 13_1_20CM_2_51_8
OTU00055	Bacteria	 Deinococcus-Thermus	 Deinococci	 Trueperales	 Trueperaceae	 NA	 Trueperaceae bacterium
OTU00056	Bacteria	 Firmicutes	 Clostridia	 Eubacteriales	 Peptostreptococcaceae	 Tepidibacter	 NA
OTU00057	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Desulfuromonadaceae	 Desulfuromusa	 Desulfuromusa kysingii
OTU00058	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter castelli
OTU00059	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces zhaozhouensis
OTU00060	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Thermocrispum	 Thermocrispum agreste
OTU00061	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Nonomuraea	 Nonomuraea indica
OTU00062	Bacteria	 Firmicutes	 Tissierellia	 Tissierellales	 Tissierellaceae	 Tepidimicrobium	 Tepidimicrobium xylanilyticum
OTU00063	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Actinomadura	 NA
OTU00064	Bacteria	 Proteobacteria	 Deltaproteobacteria	 NA	 NA	 NA	 Deltaproteobacteria bacterium
OTU00065	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Alloactinosynnema	 Alloactinosynnema sp. L-07
OTU00066	Bacteria	 Chloroflexi	 NA	 NA	 NA	 NA	 Chloroflexi bacterium
OTU00067	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 NA	 NA
OTU00068	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes cyaneus
OTU00069	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Microbispora	 NA
OTU00070	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella soli
OTU00071	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 NA	 Rhodospirillaceae bacterium BRH_c57
OTU00072	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Jhaorihella	 Jhaorihella thermophila
OTU00073	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Micromonospora	 NA
OTU00074	Bacteria	 Actinobacteria	 NA	 NA	 NA	 NA	 Actinobacteria bacterium
OTU00075	Bacteria	 Actinobacteria	 Actinomycetia	 NA	 NA	 NA	 Actinobacteria bacterium 69-20
OTU00076	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus sp. DSM 44270
OTU00077	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus favisporus
OTU00078	Bacteria	 Verrucomicrobia	 NA	 NA	 NA	 NA	 Verrucomicrobia bacterium
OTU00079	Archaea	 Crenarchaeota	 NA	 NA	 NA	 NA	 Crenarchaeota archaeon 13_1_40CM_3_52_17
OTU00080	Bacteria	 NA	 NA	 NA	 NA	 NA	 candidate division TA06 bacterium DG_26
OTU00081	Bacteria	 Bacteroidetes	 NA	 NA	 NA	 NA	 NA
OTU00082	Archaea	 Crenarchaeota	 Thermoprotei	 Acidilobales	 Caldisphaeraceae	 Caldisphaera	 Caldisphaera sp.
OTU00083	Archaea	 Candidatus Thermoplasmatota	 Thermoplasmata	 NA	 NA	 NA	 Thermoplasmata archaeon
OTU00084	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 Candidatus Sulfotelmatobacter	 Candidatus Sulfotelmatobacter kueseliae
OTU00085	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 NA	 NA
OTU00086	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea sinensis
OTU00087	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 NA
OTU00088	Bacteria	 Actinobacteria	 Actinomycetia	 Catenulisporales	 Catenulisporaceae	 Catenulispora	 Catenulispora pinistramenti
OTU00089	Bacteria	 Actinobacteria	 Actinomycetia	 Sporichthyales	 Sporichthyaceae	 Sporichthya	 Sporichthya polymorpha
OTU00090	Bacteria	 Actinobacteria	 Actinomycetia	 Actinomycetales	 Actinomycetaceae	 Arcanobacterium	 Arcanobacterium urinimassiliense
OTU00091	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Cellulomonadaceae	 Cellulomonas	 Cellulomonas citrea
OTU00092	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Nocardiopsaceae	 Nocardiopsis	 Nocardiopsis salina
OTU00093	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Microtetraspora	 NA
OTU00094	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Actinophytocola	 Actinophytocola oryzae
OTU00095	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Amycolatopsis	 Amycolatopsis sp. CA-230715
OTU00096	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes sp. ATCC 53533
OTU00097	Bacteria	 Candidatus Riflebacteria	 NA	 NA	 NA	 NA	 Candidatus Riflebacteria bacterium HGW-Riflebacteria-2
OTU00098	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Amycolatopsis	 Amycolatopsis rhizosphaerae
OTU00099	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. HPF1205
OTU00100	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Pseudonocardia	 Pseudonocardia sp. HH130630-07
OTU00101	Bacteria	 Actinobacteria	 NA	 NA	 NA	 NA	 Actinobacteria bacterium 13_1_20CM_3_71_11
OTU00102	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	 Rhodococcus sp. ARC_M6
OTU00103	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Nocardia	 Nocardia sp. XZ_19_369
OTU00104	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Sinosporangium	 Sinosporangium siamense
OTU00105	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Virgisporangium	 Virgisporangium aliadipatigenens
OTU00106	Bacteria	 Actinobacteria	 NA	 NA	 NA	 NA	 Actinobacteria bacterium RBG_16_68_12
OTU00107	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Mangrovihabitans	 Mangrovihabitans endophyticus
OTU00108	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 Acidimicrobiaceae	 Ferrithrix	 Ferrithrix thermotolerans
OTU00109	Archaea	 Euryarchaeota	 NA	 NA	 NA	 NA	 Euryarchaeota archaeon RBG_19FT_COMBO_69_17
OTU00110	Archaea	 Euryarchaeota	 NA	 NA	 NA	 NA	 Euryarchaeota archaeon RBG_16_67_27
OTU00111	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Shewanellaceae	 Shewanella	 NA
OTU00112	Archaea	 Crenarchaeota	 NA	 NA	 NA	 NA	 Crenarchaeota archaeon 13_1_40CM_3_52_10
OTU00113	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Hyphomicrobiaceae	 NA	 Hyphomicrobiaceae bacterium TMED74
OTU00114	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Actinomycetospora	 Actinomycetospora endophytica
OTU00115	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Actinomadura	 Actinomadura rubrobrunea
OTU00116	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Spongiactinospora	 Spongiactinospora gelatinilytica
OTU00117	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Thermocatellispora	 Thermocatellispora tengchongensis
OTU00118	Bacteria	 Actinobacteria	 Actinomycetia	 Catenulisporales	 Actinospicaceae	 Actinocrinis	 Actinocrinis puniceicyclus
OTU00119	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. SoC090715LN-16
OTU00120	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptacidiphilus	 Streptacidiphilus pinicola
OTU00121	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 NA	 Alicyclobacillaceae bacterium I2511
OTU00122	Bacteria	 Candidatus Rokubacteria	 NA	 NA	 NA	 NA	 NA
OTU00123	Archaea	 Crenarchaeota	 NA	 NA	 NA	 NA	 NA
OTU00124	Archaea	 Crenarchaeota	 Thermoprotei	 Desulfurococcales	 Pyrodictiaceae	 Hyperthermus	 Hyperthermus butylicus
OTU00125	Bacteria	 Actinobacteria	 NA	 NA	 NA	 NA	 Actinobacteria bacterium 13_1_40CM_4_65_12
OTU00126	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Rubeoparvulum	 Rubeoparvulum massiliense
OTU00127	Archaea	 Crenarchaeota	 Thermoprotei	 Sulfolobales	 Sulfolobaceae	 Sulfolobus	 Sulfolobus sp. SCGC AB-777_L09
OTU00128	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Nonomuraea	 Nonomuraea fuscirosea
OTU00129	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Amycolatopsis	 Amycolatopsis taiwanensis
OTU00130	Archaea	 Thaumarchaeota	 Nitrososphaeria	 Nitrososphaerales	 Nitrososphaeraceae	 Nitrososphaera	 Nitrososphaera sp. AFS
OTU00131	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus sp. DSM 46786
OTU00132	Bacteria	 Actinobacteria	 Actinomycetia	 NA	 NA	 Halopolyspora	 Halopolyspora algeriensis
OTU00133	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 NA	 NA
OTU00134	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Actinomadura	 Actinomadura fibrosa
OTU00135	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Kitasatospora	 Kitasatospora acidiphila
OTU00136	Bacteria	 Candidatus Rokubacteria	 NA	 NA	 NA	 NA	 Candidatus Rokubacteria bacterium
OTU00137	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 NA	 NA	 Desulfobacterales bacterium
OTU00138	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Catellatospora	 Catellatospora sp. TT07R-123
OTU00139	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Nonomuraea	 NA
OTU00140	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptacidiphilus	 Streptacidiphilus albus
OTU00141	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes sp. OR16
OTU00142	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Modestobacter	 Modestobacter sp. Leaf380
OTU00143	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Nonomuraea	 Nonomuraea cavernae
OTU00144	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Gordoniaceae	 Skermania	 Skermania sp. ID1734
OTU00145	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Planotetraspora	 Planotetraspora kaengkrachanensis
OTU00146	Bacteria	 Gemmatimonadetes	 NA	 NA	 NA	 NA	 Gemmatimonadetes bacterium
OTU00147	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Alcanivoracaceae	 NA	 NA
OTU00148	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Moritellaceae	 Moritella	 NA
OTU00149	Bacteria	 Actinobacteria	 Actinomycetia	 Catenulisporales	 Actinospicaceae	 Actinospica	 Actinospica sp. MGRD01-02
OTU00150	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Actinocrispum	 Actinocrispum wychmicini
OTU00151	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea sp. FS
OTU00152	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides panaciterrulae
OTU00153	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharopolyspora	 Saccharopolyspora sp. K220
OTU00154	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanosarcinales	 NA	 NA	 Methanosarcinales archaeon
OTU00155	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 NA	 NA	 Burkholderiales bacterium
OTU00156	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus sp. CT_GayMR19
OTU00157	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Cellulomonadaceae	 Pseudactinotalea	 NA
OTU00158	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharomonospora	 NA
OTU00159	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Ruaniaceae	 NA	 NA
OTU00160	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Actinomadura	 Actinomadura alba
OTU00161	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella sp. VKM Ac-2527
OTU00162	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Gordoniaceae	 Millisia	 Millisia brevis
OTU00163	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces marincola
OTU00164	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Thermomonospora	 Thermomonospora echinospora
OTU00165	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Propionibacteriaceae	 Microlunatus	 Microlunatus flavus
OTU00166	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Intrasporangiaceae	 Ornithinicoccus	 Ornithinicoccus soli
OTU00167	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium sp. MAG1
OTU00168	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. CB02959
OTU00169	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Microbispora	 Microbispora oryzae
OTU00170	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. CB01881
OTU00171	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Micromonospora	 Micromonospora sp. Llam0
OTU00172	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides anomalus
OTU00173	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium stellerae
OTU00174	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae	 Chondromyces	 NA
OTU00175	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 Acidobacteria bacterium 13_2_20CM_57_17
OTU00176	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 NA	 Thaumarchaeota archaeon 13_1_20CM_2_39_20
OTU00177	Archaea	 Thaumarchaeota	 NA	 Nitrosopumilales	 Nitrosopumilaceae	 Nitrosarchaeum	 Nitrosarchaeum sp.
OTU00178	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes sp. L3-i22
OTU00179	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	 Rhodococcus trifolii
OTU00180	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces purpurogeneiscleroticus
OTU00181	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 NA	 NA
OTU00182	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Nonomuraea	 Nonomuraea antri
OTU00183	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. NRRL S-340
OTU00184	Bacteria	 Proteobacteria	 Zetaproteobacteria	 Mariprofundales	 Mariprofundaceae	 Mariprofundus	 Mariprofundus sp. EBB-1
OTU00185	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. ov118
OTU00186	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. Hiyo6
OTU00187	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Intrasporangiaceae	 Tetrasphaera	 Tetrasphaera australiensis
OTU00188	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Thermomonosporaceae	 Actinoallomurus	 Actinoallomurus bryophytorum
OTU00189	Bacteria	 Actinobacteria	 Actinomycetia	 Kineosporiales	 Kineosporiaceae	 Angustibacter	 Angustibacter sp. Root456
OTU00190	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Nocardia	 Nocardia higoensis
OTU00191	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotenuis	 Candidatus Nitrosotenuis sp. DW1
OTU00192	Bacteria	 Actinobacteria	 Actinomycetia	 Kineosporiales	 Kineosporiaceae	 Quadrisphaera	 Quadrisphaera sp. DSM 44207
OTU00193	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Acrocarpospora	 Acrocarpospora sp. H8750
OTU00194	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Nocardiopsaceae	 Nocardiopsis	 NA
OTU00195	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella jejuensis
OTU00196	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus sp. CT_GayMR20
OTU00197	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes globisporus
OTU00198	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. TN58
OTU00199	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Micromonospora	 Micromonospora radicis
OTU00200	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces lunaelactis
OTU00201	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella shirazensis
OTU00202	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptacidiphilus	 Streptacidiphilus rugosus
OTU00203	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon RBG_16_50_20
OTU00204	Archaea	 Candidatus Heimdallarchaeota	 NA	 NA	 NA	 NA	 Candidatus Heimdallarchaeota archaeon LC_2
OTU00205	Bacteria	 Actinobacteria	 Actinomycetia	 Catenulisporales	 Actinospicaceae	 Actinospica	 Actinospica robiniae
