display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Control: Burr Oak Reservoir BO4,Bacteria:Chloroflexota,38,0.05504533997740244,Phylum,Metagenomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Cyanobacteriota,308,0.4461569661326303,Phylum,Metagenomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Desulfobacterota,220,0.31868354723759307,Phylum,Metagenomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Gemmatimonadota,17,0.02462554683199583,Phylum,Metagenomics,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Myxococcota,86,0.12457629573833183,Phylum,Metagenomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Nitrospirota,6823,9.883535649100443,Phylum,Metagenomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Planctomycetota,92,0.13326766520844802,Phylum,Metagenomics,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota,52810,76.49853695280586,Phylum,Metagenomics,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Verrucomicrobiota,50,0.07242807891763478,Phylum,Metagenomics,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Other taxa,123,0.1781730741373816,Phylum,Metagenomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Halobacteriota,140202,2.904195840264879,Phylum,Metagenomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Methanobacteriota,31020,0.6425596993268038,Phylum,Metagenomics,20,#B8315D,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Methanobacteriota_B,25977,0.5380971408579104,Phylum,Metagenomics,20,#CD2187,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Thermoproteota,63844,1.3224881187563011,Phylum,Metagenomics,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Acidobacteriota,129942,2.6916664232728413,Phylum,Metagenomics,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Actinomycetota,240839,4.988827705550229,Phylum,Metagenomics,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Bacillota,145162,3.0069391061791584,Phylum,Metagenomics,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Bacillota_A,182463,3.7796057517171695,Phylum,Metagenomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Bacillota_B,120139,2.488603472515244,Phylum,Metagenomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Bacteroidota,470598,9.748140212243559,Phylum,Metagenomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Chloroflexota,333557,6.909422489630905,Phylum,Metagenomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Cyanobacteriota,148256,3.071029361166816,Phylum,Metagenomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Desulfobacterota,680591,14.098012518521235,Phylum,Metagenomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Gemmatimonadota,322,0.0066700265371770085,Phylum,Metagenomics,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Myxococcota,75962,1.5735048317299376,Phylum,Metagenomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Nitrospirota,50830,1.052911331940085,Phylum,Metagenomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Patescibacteria,176496,3.6560031170981158,Phylum,Metagenomics,20,#E36AE6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Planctomycetota,260631,5.398806479537208,Phylum,Metagenomics,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Pseudomonadota,1123800,23.27880690211032,Phylum,Metagenomics,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Verrucomicrobiota,133140,2.757910972545798,Phylum,Metagenomics,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Other taxa,293796,6.085798498498312,Phylum,Metagenomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Archaea:Halobacteriota,590817,5.5638830378869,Phylum,Metagenomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Archaea:Methanobacteriota,278438,2.622125743340413,Phylum,Metagenomics,20,#B8315D,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Archaea:Methanobacteriota_B,246196,2.3184941333705753,Phylum,Metagenomics,20,#CD2187,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Archaea:Thermoproteota,985949,9.28494765269373,Phylum,Metagenomics,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Acidobacteriota,325775,3.0679110395733447,Phylum,Metagenomics,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Actinomycetota,584088,5.500514230012481,Phylum,Metagenomics,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Bacillota,415744,3.915173378056575,Phylum,Metagenomics,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Bacillota_A,310335,2.922508395260514,Phylum,Metagenomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Bacillota_B,289671,2.7279099339858814,Phylum,Metagenomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Bacteroidota,328636,3.0948538482118817,Phylum,Metagenomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Chloroflexota,852798,8.031028773620044,Phylum,Metagenomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Cyanobacteriota,674497,6.351920167167838,Phylum,Metagenomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Desulfobacterota,477578,4.497480833266392,Phylum,Metagenomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Gemmatimonadota,24889,0.23438642579676458,Phylum,Metagenomics,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Myxococcota,181429,1.708565826103146,Phylum,Metagenomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Towuti,Bacteria:Nitrospirota,51690,0.48677867127786417,Phylum,Metagenomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
