Module,Thermoplasmata RBG-16-68-12 - MAG01,Unclassified MAG - MAG02,Candidatus Aminicenantes  - MAG03,Acidobacteria bacterium U - MAG04,Candidatus Bathyarchaeota - MAG05,Candidatus Bathyarchaeota - MAG06,Candidatus Bathyarchaeota - MAG07,Trebonia kvetii - MAG08,Anaeromyxobacter sp. Red267 - MAG09,Candidatus Bathyarchaeota - MAG10,Nitrososphaeria archeon E - MAG11,Dehalococcoides mccartyi - MAG12,Nitrospirales bacterium L - MAG13,Spirochaetes bacterium RB - MAG14,Bacteroidota UBA6906 - MAG15,Candidatus Bathyarchaeota - MAG16,Thermoplasmata archaeon S - MAG17,Dehalococcoidia bacterium - MAG18,Euryarchaeota archaeon RB - MAG19,Candidatus Bathyarchaeota - MAG20,Candidatus Bathyarchaeota - MAG21,Candidatus Bathyarchaeota - MAG22,Candidatus Bathyarchaeota - MAG24,Nitrosotalea sp - MAG25,Burkholderiales bacterium - MAG26,Planctomycetes bacterium  - MAG27,Unclassified MAG - MAG28,Candidatus Aminicenantes  - MAG29,Anaerolineales bacterium - MAG30,Thermoflexales bacterium - MAG31,Lokiarchaeia archaeon - MAG32,Thermoflexales bacterium  - MAG33,Hydrococcus - MAG34,Acidobacteria bacterium U - MAG35,Candidatus Bathyarchaeota - MAG36,Euryarchaeota archaeon RB - MAG37,Candidatus Bathyarchaeota - MAG38,Lokiarchaeia archaeon - MAG39,Desulfobacterota bacteriu - MAG40,Dehalococcoidia bacterium - MAG41,Dehalococcoidia bacterium - MAG42,Acidobacteria bacterium U - MAG43,Anaerolineae bacterium UB - MAG44,Candidatus Aminicenantes  - MAG45,Candidatus Methanopereden - MAG46,Unclassified MAG - MAG47,Lokiarchaeia archaeon - MAG48
M00113 | Jasmonic acid biosynthesis,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00114 | Ascorbate biosynthesis, plants, glucose-6P => ascorbate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00115 | NAD biosynthesis, aspartate => NAD",Incomplete,Incomplete,Complete,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,Incomplete,1 block missing,2 blocks missing,2 blocks missing,Complete,Complete,Incomplete,2 blocks missing,Incomplete,Incomplete,Complete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,1 block missing,Incomplete,1 block missing,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete
"M00116 | Menaquinone biosynthesis, chorismate => menaquinol",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00117 | Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00118 | Glutathione biosynthesis, glutamate => glutathione",2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00119 | Pantothenate biosynthesis, valine/L-aspartate => pantothenate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Complete,Complete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete
"M00120 | Coenzyme A biosynthesis, pantothenate => CoA",2 blocks missing,Incomplete,1 block missing,1 block missing,Incomplete,2 blocks missing,Incomplete,Complete,1 block missing,2 blocks missing,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,2 blocks missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,1 block missing,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,2 blocks missing,Complete,Incomplete,1 block missing,1 block missing,2 blocks missing,Complete,Incomplete,Incomplete,Incomplete
"M00121 | Heme biosynthesis, plants and bacteria, glutamate => heme",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,2 blocks missing,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00122 | Cobalamin biosynthesis, cobinamide => cobalamin",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00123 | Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00124 | Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00125 | Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete
"M00126 | Tetrahydrofolate biosynthesis, GTP => THF",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00127 | Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00128 | Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00129 | Ascorbate biosynthesis, animals, glucose-1P => ascorbate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00130 | Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00131 | Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00132 | Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00133 | Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete
"M00134 | Polyamine biosynthesis, arginine => ornithine => putrescine",2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing
"M00135 | GABA biosynthesis, eukaryotes, putrescine => GABA",2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00136 | GABA biosynthesis, prokaryotes, putrescine => GABA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00137 | Flavanone biosynthesis, phenylalanine => naringenin",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00138 | Flavonoid biosynthesis, naringenin => pelargonidin",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00140 | C1-unit interconversion, prokaryotes",1 block missing,2 blocks missing,Complete,1 block missing,Incomplete,Complete,Incomplete,Complete,Complete,Incomplete,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,1 block missing,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Complete,1 block missing,Incomplete,2 blocks missing,Complete,2 blocks missing,Complete,2 blocks missing,1 block missing,Incomplete,Incomplete,Incomplete
"M00141 | C1-unit interconversion, eukaryotes",2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,Complete,Complete,Complete,2 blocks missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing
"M00142 | NADH:ubiquinone oxidoreductase, mitochondria",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00143 | NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00144 | NADH:quinone oxidoreductase, prokaryotes",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00145 | NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00146 | NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00147 | NADH dehydrogenase (ubiquinone) 1 beta subcomplex,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00148 | Succinate dehydrogenase (ubiquinone),1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00149 | Succinate dehydrogenase, prokaryotes",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00150 | Fumarate reductase, prokaryotes",1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00151 | Cytochrome bc1 complex respiratory unit,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00152 | Cytochrome bc1 complex,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00153 | Cytochrome bd ubiquinol oxidase,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
