variable,R2_against_other_predictors,VIF
LOI,0.8196687729180709,5.54535127488305
SiO2,0.45827777622488697,1.8459645111682428
Al2O3,0.7617832515418552,4.197857650532503
TOT/S,0.6440696060755483,2.809538092473934
Cu,0.6179069436692473,2.6171634983451937
Pb,0.831836530630296,5.946594725644722
