Variable,RDA1,RDA2
LOI,-0.7515724457328514,0.08682929602281908
SiO2,0.36928559383669163,-0.27461882884735483
Al2O3,0.20140903825786843,-0.025619194408982367
TOT/S,-0.4054337873583155,0.2373464465513907
Cu,0.472360658446498,0.578540258669211
Pb,0.3224479738672381,0.33759119755424555
