Variable,RDA1,RDA2
LOI,-0.6160406555931842,0.10835805441348578
SiO2,0.12912627834532348,-0.36302105462972994
Al2O3,0.35540747124162425,0.1603187678009708
TOT/S,-0.1689361987013343,-0.11768745631726872
Cu,0.6160702354307408,0.43366030988862314
Pb,0.7724806533075955,0.1871672974234931
