NMDS1,NMDS2,Sample,Lake,Season,LakeSeason
-1.4948533032608697,0.02557011383761898,AM.P1.D,AM,Dry,AM-D
-0.8788119192968726,0.037321578531126644,AM.P1.R,AM,Rainy,AM-R
0.4273963719596135,0.6321522286007403,AM.P2.D,AM,Dry,AM-D
-0.38484592125711203,-0.14993999568420993,AM.P2.R,AM,Rainy,AM-R
0.2518794458603945,0.16744283359363915,TIA.P1.D,TIA,Dry,TIA-D
0.13772519900212252,-0.3469433648020281,TIA.P1.R,TIA,Rainy,TIA-R
0.185457192712071,-0.06662159468894552,TIA.P2.D,TIA,Dry,TIA-D
0.21943446602737096,-0.13322497588216645,TIA.P2.R,TIA,Rainy,TIA-R
-0.47738792351873943,-1.0415448513045833,TI.P1.D,TI,Dry,TI-D
0.17138107019638693,0.004146547299724113,TI.P1.R,TI,Rainy,TI-R
0.46480237229514887,0.580661691507918,TI.P2.D,TI,Dry,TI-D
0.22637385897547402,-0.4157977372770469,TI.P2.R,TI,Rainy,TI-R
0.06521679406327954,-0.49016434480394055,TI.P3.D,TI,Dry,TI-D
0.3156418707819754,0.35818126278927953,TI.P3.R,TI,Rainy,TI-R
-0.30957558651920136,-0.8394206540396573,TI.P4.D,TI,Dry,TI-D
-0.09204585229222267,-0.5137712605070378,TI.P4.R,TI,Rainy,TI-R
0.5915909975272291,0.48887115717096824,VI.P1.D,VI,Dry,VI-D
0.24756050691572995,0.5669019239520892,VI.P1.R,VI,Rainy,VI-R
0.26408857230297067,0.6242600267639284,VI.P2.D,VI,Dry,VI-D
0.06897178752525004,0.5119194149425828,VI.P2.R,VI,Rainy,VI-R
