Sample,RDA1,RDA2,Lake
AM.P1,0.0011217351232092117,-0.03149265435936191,AM
AM.P2,0.004634828505654049,-0.0571877153978993,AM
TIA.P1,-0.05263369243914334,0.041011720994754516,TIA
TIA.P2,0.04236920585558148,0.019975590321883337,TIA
TI.P1,-0.0778172051820046,-0.013900150668511886,TI
TI.P2,-0.018040285973786804,0.03185321452016215,TI
TI.P3,-0.034971794610053814,0.02957602250001792,TI
TI.P4,-0.06739546187204301,-0.01939750901122184,TI
VI.P1,0.11495841735413617,0.03204488737805998,VI
VI.P2,0.08777425323845066,-0.032483406277883216,VI
