NMDS1,NMDS2,Sample,Lake,Season,LakeSeason
-0.3775507329348773,-1.2789755315800695,AM.P1.D,AM,Dry,AM-D
-0.14411974609474834,-0.7076614070402809,AM.P1.R,AM,Rainy,AM-R
0.5190208999812684,0.7600787497920077,AM.P2.D,AM,Dry,AM-D
-0.09130632204958328,-0.1611363787373612,AM.P2.R,AM,Rainy,AM-R
-0.05589882643262836,0.10050272686836603,TIA.P1.D,TIA,Dry,TIA-D
-0.4761450420172043,0.2721540936206774,TIA.P1.R,TIA,Rainy,TIA-R
-0.19179573641139305,0.0416813700153676,TIA.P2.D,TIA,Dry,TIA-D
-0.3020434420753434,0.30756192282201567,TIA.P2.R,TIA,Rainy,TIA-R
-0.7388174296462635,-0.5033910967977756,TI.P1.D,TI,Dry,TI-D
-0.09998401209933716,0.3600385172158016,TI.P1.R,TI,Rainy,TI-R
0.5689801292469038,0.51869478675292,TI.P2.D,TI,Dry,TI-D
-0.16105206911832665,-0.07043477532517188,TI.P2.R,TI,Rainy,TI-R
-0.3241702737865452,-0.1479264546642919,TI.P3.D,TI,Dry,TI-D
0.2408142270759981,0.2986711082037959,TI.P3.R,TI,Rainy,TI-R
-0.5651854311731105,-0.47949967224443846,TI.P4.D,TI,Dry,TI-D
-0.3464905878695219,-0.2715968938552131,TI.P4.R,TI,Rainy,TI-R
1.5707102168795568,0.23692296431264342,VI.P1.D,VI,Dry,VI-D
0.47741103843365684,0.03186546161867628,VI.P1.R,VI,Rainy,VI-R
0.3542520969955428,0.23331090872491683,VI.P2.D,VI,Dry,VI-D
0.14337104309595602,0.45913960029741363,VI.P2.R,VI,Rainy,VI-R
