display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Bryobacterales:Bryobacteraceae,80676,2.159605084264377,Family,Metagenomics,25,#63B612,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Terriglobales:Acidobacteriaceae,78849,2.1106983649308573,Family,Metagenomics,25,#DD1751,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Vicinamibacteria:Vicinamibacterales:Vicinamibacteraceae,238631,6.387881412850073,Family,Metagenomics,25,#3BA1EB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales:Ilumatobacteraceae,49221,1.3175903844089554,Family,Metagenomics,25,#8DAB0A,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Propionibacteriales:Nocardioidaceae,106868,2.8607352390446406,Family,Metagenomics,25,#DA43EC,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Chitinophagales:Chitinophagaceae,56998,1.525771860192634,Family,Metagenomics,25,#DD7E22,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Cyanobacteriota:Cyanobacteriia:Cyanobacteriales:Nostocaceae,25339,0.6782963115446359,Family,Metagenomics,25,#5379F6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Gemmatimonadota:Gemmatimonadetes:Gemmatimonadales:Gemmatimonadaceae,75950,2.033095420569679,Family,Metagenomics,25,#A726DE,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Myxococcota:Polyangia:Polyangiales:Polyangiaceae,48579,1.3004047720323164,Family,Metagenomics,25,#D58F60,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Planctomycetota:Planctomycetia:Gemmatales:Gemmataceae,41835,1.119875535477716,Family,Metagenomics,25,#E36CD0,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
