display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Control: Burr Oak Reservoir BO4,Bacteria:Acidobacteriota:Terriglobia:Terriglobales,43,0.06293358311623685,Order,Metagenomics,25,#49E319,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales,5,0.007317858501888007,Order,Metagenomics,25,#D58428,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Actinomycetota:Actinomycetes:Actinomycetales,92,0.13464859643473934,Order,Metagenomics,25,#DC628E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Actinomycetota:Actinomycetes:Mycobacteriales,390,0.5707929631472646,Order,Metagenomics,25,#F311C5,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Bacteroidota:Bacteroidia:Cytophagales,372,0.5444486725404677,Order,Metagenomics,25,#45C9E2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Chloroflexota:Chloroflexia:Chloroflexales,16,0.023417147206041624,Order,Metagenomics,25,#F619A2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Cyanobacteriota:Cyanobacteriia:Cyanobacteriales,241,0.35272077979100197,Order,Metagenomics,25,#13EF2E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Desulfobacterota:Desulfobacteria:Desulfobacterales,36,0.052688581213593655,Order,Metagenomics,25,#6B2594,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Planctomycetota:Planctomycetia:Gemmatales,19,0.027807862307174427,Order,Metagenomics,25,#E31034,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Planctomycetota:Planctomycetia:Pirellulales,19,0.027807862307174427,Order,Metagenomics,25,#96D050,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Alphaproteobacteria:Acetobacterales,97,0.14196645493662735,Order,Metagenomics,25,#F0101A,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Alphaproteobacteria:Caulobacterales,2922,4.276556508503352,Order,Metagenomics,25,#261FB9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhizobiales,31500,46.102508561894446,Order,Metagenomics,25,#D2F356,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhodobacterales,308,0.4507800837163013,Order,Metagenomics,25,#3CA31F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Alphaproteobacteria:Sphingomonadales,282,0.4127272195064836,Order,Metagenomics,25,#9E25EF,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Gammaproteobacteria:Burkholderiales,15399,22.537540614114686,Order,Metagenomics,25,#87C91B,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Gammaproteobacteria:Pseudomonadales,351,0.5137136668325382,Order,Metagenomics,25,#1BF738,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Bacteria:Pseudomonadota:Gammaproteobacteria:Xanthomonadales,171,0.25027076076456983,Order,Metagenomics,25,#D03A37,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Control: Burr Oak Reservoir BO4,Other taxa,16030,23.46105435705295,Order,Metagenomics,25,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Halobacteriota:Methanosarcinia:Methanosarcinales,47301,1.3250247911659412,Order,Metagenomics,25,#BEEE3D,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Methanobacteriota:Methanobacteria:Methanobacteriales,26595,0.7449955459939156,Order,Metagenomics,25,#815EDA,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Methanobacteriota_B:Thermococci:Thermococcales,24237,0.6789417953846413,Order,Metagenomics,25,#C128A4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Archaea:Thermoproteota:Nitrososphaeria:Nitrososphaerales,37372,1.0468875181381696,Order,Metagenomics,25,#E78313,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Acidobacteriota:Terriglobia:Bryobacterales,24330,0.6815469687547271,Order,Metagenomics,25,#67F0C4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Acidobacteriota:Terriglobia:Terriglobales,2806,0.0786034029726989,Order,Metagenomics,25,#49E319,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales,29517,0.8268484125250013,Order,Metagenomics,25,#D58428,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Actinomycetota:Actinomycetes:Actinomycetales,51775,1.4503532390988902,Order,Metagenomics,25,#DC628E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Actinomycetota:Actinomycetes:Mycobacteriales,59668,1.6714568241535988,Order,Metagenomics,25,#F311C5,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Bacteroidota:Bacteroidia:Cytophagales,68474,1.9181359284221613,Order,Metagenomics,25,#45C9E2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Chloroflexota:Chloroflexia:Chloroflexales,69034,1.933822993876442,Order,Metagenomics,25,#F619A2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Ferruginous lake/sediment group: Lake Matano,Bacteria:Cyanobacteriota:Cyanobacteriia:Cyanobacteriales,95088,2.6636637141368475,Order,Metagenomics,25,#13EF2E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
